date,open,high,low,close,volume,adj.close
2018/01/04,2045,2085,1987,2061,64300,2061
2018/01/05,2080,2080,2039,2042,26600,2042
2018/01/09,2067,2197,2050,2195,89500,2195
2018/01/10,2203,2220,2129,2207,47900,2207
2018/01/11,2214,2214,2107,2122,57600,2122
2018/01/12,2103,2148,2064,2072,62100,2072
2018/01/15,2320,2321,2196,2315,187500,2315
2018/01/16,2342,2815,2341,2815,947500,2815
2018/01/17,2720,2914,2662,2893,579300,2893
2018/01/18,2876,2890,2722,2734,310500,2734
2018/01/19,2777,3190,2740,3020,954000,3020
2018/01/22,3060,3065,2882,2931,444400,2931
2018/01/23,2920,3040,2760,3010,567700,3010
2018/01/24,2932,2933,2680,2770,539700,2770
2018/01/25,2747,2770,2609,2617,380100,2617
2018/01/26,2661,2680,2543,2551,308400,2551
2018/01/29,2651,2664,2512,2522,466600,2522
2018/01/30,2450,2560,2372,2421,698000,2421
2018/01/31,2396,2652,2330,2578,623900,2578
2018/02/01,2578,2662,2523,2630,427800,2630
2018/02/05,2375,2487,2261,2266,540200,2266
2018/02/06,1994,2080,1777,1974,800000,1974
2018/02/07,2135,2138,1895,1900,329300,1900
2018/02/08,2000,2000,1885,1950,173700,1950
2018/02/09,1810,2030,1810,1998,185600,1998
2018/02/13,2030,2063,1881,1890,165200,1890
2018/02/14,1875,1938,1759,1830,155400,1830
2018/02/15,1835,1918,1802,1888,103300,1888
2018/02/16,1905,1975,1885,1961,87900,1961
2018/02/19,1961,2156,1961,2092,176700,2092
2018/02/20,2081,2189,2081,2087,122100,2087
2018/02/21,2082,2120,2060,2088,63300,2088
2018/02/22,2089,2091,2000,2034,71000,2034
2018/02/23,2012,2060,2003,2029,45100,2029
2018/02/26,2052,2098,2041,2056,56300,2056
2018/02/27,2088,2089,2041,2080,42900,2080
2018/02/28,2052,2225,2052,2201,184300,2201
2018/03/01,2158,2187,2133,2137,49100,2137
2018/03/02,2024,2075,1999,2025,109400,2025
2018/03/05,2037,2040,1904,1916,85600,1916
2018/03/06,1996,2029,1956,1977,54600,1977
2018/03/07,2000,2041,1939,1983,41800,1983
2018/03/08,1924,2010,1921,1930,91700,1930
2018/03/09,2060,2300,2028,2144,633900,2144
