0,1d2a,20180116,1659
72,3823,東証2部,(株)アクロディア,15:00,373,5.97%,21,4714200
73,6912,東証JQS,菊水電子工業(株),15:00,1366,5.97%,77,366200
74,6698,東証JQS,ヴィスコ・テクノロジーズ(株),15:00,36000,5.88%,2000,120300
75,2497,マザーズ,ユナイテッド(株),15:00,3695,5.87%,205,3784700
76,3465,東証1部,ケイアイスター不動産(株),15:00,3200,5.79%,175,80200
77,4026,東証2部,神島化学工業(株),15:00,1265,5.77%,69,186900
78,1691,東証ETF,ETFS ガソリン上場投資信託,14:21,2750,5.73%,149,14
79,3046,東証1部,(株)ジンズ,15:00,5260,5.73%,285,422100
80,9698,東証JQS,(株)クレオ,15:00,673,5.65%,36,82100
81,3611,東証1部,(株)マツオカコーポレーション,15:00,4500,5.63%,240,289900
82,7879,東証2部,(株)ノダ,15:00,1445,5.63%,77,123300
83,4921,東証1部,(株)ファンケル,15:00,3485,5.61%,185,332500
84,3537,東証JQS,昭栄薬品(株),15:00,3440,5.52%,180,14700
85,4367,東証2部,広栄化学工業(株),15:00,3575,5.46%,185,38700
86,3773,マザーズ,(株)アドバンスト・メディア,15:00,1903,5.43%,98,603700
87,8836,東証JQS,(株)ＲＩＳＥ,15:00,39,5.41%,2,737400
88,3192,東証JQS,(株)白鳩,15:00,748,5.35%,38,840600
89,8257,東証JQS,(株)山陽百貨店,13:25,1580,5.33%,80,100
90,6268,東証1部,ナブテスコ(株),15:00,5360,5.30%,270,1087900
91,3779,東証JQS,ジェイ・エスコム　ホールディングス(株),15:00,162,5.19%,8,612000
92,9691,東証JQS,(株)両毛システムズ,15:00,1479,5.19%,73,7700
93,9790,東証1部,福井コンピュータホールディングス(株),15:00,3155,5.17%,155,85400
94,3224,マザーズ,(株)ゼネラル・オイスター,15:00,1127,5.13%,55,14800
95,2389,東証1部,(株)オプトホールディング,15:00,1404,5.09%,68,529900
96,6235,東証1部,(株)オプトラン,15:00,3235,5.03%,155,610700
97,4783,東証JQS,日本コンピュータ・ダイナミクス(株),15:00,1432,4.99%,68,352600
98,3349,東証1部,(株)コスモス薬品,15:00,19800,4.98%,940,466500
99,9421,東証JQS,(株)エヌジェイホールディングス,15:00,4020,4.96%,190,18200
100,9449,東証1部,ＧＭＯインターネット(株),15:00,2124,4.94%,100,2462600
101,6697,マザーズ,テックポイント,15:00,2451,4.92%,115,479600
102,1640,東証ETF,ダイワ 上場投信･TOPIX-17鉄鋼･非鉄,14:57,27600,4.90%,1290,2
103,3840,東証2部,パス(株),15:00,172,4.88%,8,459300
