code,date,open,high,low,close,volume
0010,13/12/06,1260.97,1266.66,1225.96,1235.83,12061300000
0010,13/11/29,1256.25,1261.04,1245.86,1258.66,11842100000
0010,13/11/22,1246.49,1258.21,1230.95,1248.57,12815800000
0010,13/11/15,1190.36,1241.38,1180.94,1239.04,13677500000
0010,13/11/08,1192.04,1198.07,1171.20,1176.42,9694500000
0010,13/11/01,1190.20,1207.60,1177.81,1183.03,14247900000
0010,13/10/25,1210.26,1222.56,1178.28,1178.28,11373300000
0010,13/10/18,1204.85,1212.62,1193.17,1205.52,7929100000
0010,13/10/11,1164.52,1201.56,1138.75,1197.17,12124400000
0010,13/10/04,1200.15,1205.16,1156.34,1163.82,13198200000
0010,13/09/27,1208.67,1223.12,1191.63,1217.52,12061600000
0010,13/09/20,1190.55,1221.80,1181.56,1218.98,13923500000
0010,13/09/13,1169.80,1199.30,1166.97,1185.28,16868400000
0010,13/09/06,1109.41,1163.21,1107.90,1147.82,11193400000
0010,13/08/30,1145.91,1147.94,1103.94,1106.05,9310900000
0010,13/08/23,1142.42,1150.02,1111.52,1141.63,9733900000
0010,13/08/16,1132.07,1171.34,1129.50,1142.65,9797300000
0010,13/08/09,1186.91,1193.66,1136.35,1140.91,11232200000
0010,13/08/02,1148.69,1196.17,1127.01,1196.17,13030900000
0010,13/07/26,1222.75,1224.91,1164.81,1167.06,11893900000
0010,13/07/19,1209.68,1232.02,1198.58,1211.98,12202400000
0010,13/07/12,1201.34,1206.14,1172.58,1201.99,14347100000
0010,13/07/05,1143.96,1188.58,1131.26,1188.58,13517900000
0010,13/06/28,1112.31,1139.76,1065.27,1133.84,13378000000
0010,13/06/21,1051.26,1112.05,1049.67,1099.40,13947800000
0010,13/06/14,1078.08,1119.82,1040.31,1056.45,16823800000
0010,13/06/07,1122.10,1139.22,1033.02,1056.95,22357800000
0010,13/05/31,1176.92,1195.71,1129.07,1135.78,20729100000
0010,13/05/24,1266.40,1289.77,1149.42,1194.08,31045000000
0010,13/05/17,1222.23,1259.63,1222.10,1253.24,25032500000
0010,13/05/10,1174.02,1212.33,1174.02,1210.60,15361400000
0010,13/05/02,1164.30,1169.64,1147.52,1153.28,9209200000
0010,13/04/26,1144.42,1176.36,1140.83,1161.19,21673300000
0010,13/04/19,1138.08,1145.48,1106.18,1126.67,20347900000
0010,13/04/12,1084.40,1150.06,1083.81,1148.57,24647500000
0010,13/04/05,1031.75,1088.36,971.33,1066.24,20506400000
0010,13/03/29,1050.62,1051.74,1028.66,1034.71,13746700000
0010,13/03/22,1039.25,1061.75,1028.34,1038.57,12250600000
0010,13/03/15,1030.58,1052.55,1028.37,1051.65,18569400000
0010,13/03/08,991.70,1021.85,987.48,1020.50,17216700000
0010,13/03/01,977.48,986.06,953.72,984.33,16593100000
0010,13/02/22,952.84,976.17,948.58,963.48,14670000000
0010,13/02/15,971.18,978.44,930.04,942.41,16110700000
0010,13/02/08,949.34,974.51,939.70,957.35,23244300000
