62,6698,東証JQS,ヴィスコ・テクノロジーズ(株),01/10,34300,6.52 %,2100,184600,掲示板
63,2160,マザーズ,(株)ジーエヌアイグループ,01/10,705,6.50 %,43,9611000,掲示板
64,3054,東証JQS,(株)ハイパー,01/10,1023,6.45 %,62,153000,掲示板
65,7781,東証JQS,(株)平山ホールディングス,01/10,1838,6.37 %,110,18800,掲示板
66,5955,東証2部,(株)ヤマシナ,01/10,119,6.25 %,7,46340300,掲示板
67,7992,東証2部,セーラー万年筆(株),01/10,272,6.25 %,16,659500,掲示板
68,6196,東証1部,(株)ストライク,01/10,5620,6.24 %,330,99500,掲示板
69,1492,東証ETF,MAXIS JPX日経中小型株指数上場投信,01/10,17900,6.11 %,1030,1474,掲示板
70,2351,マザーズ,(株)ＡＳＪ,01/10,1705,6.03 %,97,363200,掲示板
71,8891,東証2部,(株)エムジーホーム,01/10,1388,5.95 %,78,27200,掲示板
72,8524,東証1部,(株)北洋銀行,01/10,413,5.90 %,23,2690000,掲示板
73,5021,東証1部,コスモエネルギーホールディングス(株),01/10,4765,5.89 %,265,794900,掲示板
74,8918,東証1部,(株)ランド,01/10,18,5.88 %,1,32489500,掲示板
75,5218,東証1部,(株)オハラ,01/10,3875,5.87 %,215,1845200,掲示板
76,6626,東証JQS,ＳＥＭＩＴＥＣ(株),01/10,9760,5.86 %,540,255500,掲示板
77,6175,東証JQS,(株)ネットマーケティング,01/10,2085,5.84 %,115,198400,掲示板
78,6618,マザーズ,(株)大泉製作所,01/10,1250,5.84 %,69,604300,掲示板
79,2385,マザーズ,(株)総医研ホールディングス,01/10,619,5.81 %,34,1560900,掲示板
80,2751,東証JQS,(株)テンポスホールディングス,01/10,2405,5.81 %,132,63400,掲示板
81,6165,東証1部,パンチ工業(株),01/10,1477,5.80 %,81,464600,掲示板
82,9625,東証JQS,(株)セレスポ,01/10,1496,5.80 %,82,15200,掲示板
83,1724,東証JQS,シンクレイヤ(株),01/10,1023,5.79 %,56,270800,掲示板
84,1400,東証JQG,ルーデン・ホールディングス(株),01/10,409,5.68 %,22,149600,掲示板
85,4559,東証1部,ゼリア新薬工業(株),01/10,2308,5.68 %,124,452000,掲示板
86,3161,東証2部,アゼアス(株),01/10,690,5.67 %,37,349900,掲示板
87,6548,マザーズ,(株)旅工房,01/10,914,5.66 %,49,48500,掲示板
88,8341,東証1部,(株)七十七銀行,01/10,3080,5.59 %,163,567000,掲示板
89,1776,東証2部,三井住建道路(株),01/10,399,5.56 %,21,62000,掲示板
90,4571,マザーズ,ナノキャリア(株),01/10,689,5.51 %,36,2386600,掲示板
91,6547,東証2部,(株)グリーンズ,01/10,1799,5.51 %,94,100400,掲示板
92,6267,東証JQS,ゼネラルパッカー(株),01/10,2162,5.46 %,112,1500,掲示板
93,9262,マザーズ,(株)シルバーライフ,01/10,6000,5.45 %,310,246500,掲示板
94,6310,東証1部,井関農機(株),01/10,3020,5.37 %,154,304200,掲示板
95,3140,東証JQG,(株)イデアインターナショナル,01/10,1151,5.31 %,58,256200,掲示板
96,3939,マザーズ,(株)カナミックネットワーク,01/10,4000,5.26 %,200,69100,掲示板
97,6033,マザーズ,(株)エクストリーム,01/10,1960,5.21 %,97,49700,掲示板
98,3798,東証JQS,ＵＬＳグループ(株),01/10,1943,5.20 %,96,304600,掲示板
99,4585,マザーズ,(株)ＵＭＮファーマ,01/10,589,5.18 %,29,551100,掲示板
100,5697,東証2部,(株)サンユウ,01/10,731,5.18 %,36,53400,掲示板
101,7271,東証1部,(株)安永,01/10,3025,5.18 %,149,520500,掲示板
102,5464,東証1部,モリ工業(株),01/10,3970,5.17 %,195,30500,掲示板
103,8589,東証1部,(株)アプラスフィナンシャル,01/10,122,5.17 %,6,5812900,掲示板
104,4792,東証JQS,山田コンサルティンググループ(株),01/10,2730,5.16 %,134,36200,掲示板
105,1514,東証1部,住石ホールディングス(株),01/10,184,5.14 %,9,5544300,掲示板
106,4319,東証1部,ＴＡＣ(株),01/10,368,5.14 %,18,430600,掲示板
107,5753,東証2部,日本伸銅(株),01/10,2333,5.14 %,114,20300,掲示板
108,1992,東証JQS,神田通信機(株),01/10,2365,5.11 %,115,300,掲示板
109,3902,東証1部,メディカル・データ・ビジョン(株),01/10,2426,5.11 %,118,374100,掲示板
110,3241,東証2部,(株)ウィル,01/10,413,5.09 %,20,200000,掲示板
111,6488,東証JQS,(株)ヨシタケ,01/10,1322,5.09 %,64,15900,掲示板
112,9127,東証2部,玉井商船(株),01/10,145,5.07 %,7,968000,掲示板
113,5602,東証1部,(株)栗本鐵工所,01/10,2421,4.99 %,115,254300,掲示板
114,9324,東証1部,安田倉庫(株),01/10,1042,4.93 %,49,131000,掲示板
115,3845,東証JQS,(株)アイフリークモバイル,01/10,256,4.92 %,12,409000,掲示板
116,8919,東証1部,(株)カチタス,01/10,2859,4.92 %,134,2469900,掲示板
117,6615,東証1部,ユー・エム・シー・エレクトロニクス(株),01/10,3205,4.91 %,150,72000,掲示板
118,3782,マザーズ,(株)ディー・ディー・エス,01/10,649,4.85 %,30,657300,掲示板
119,6546,東証2部,フルテック(株),01/10,1449,4.85 %,67,97300,掲示板
120,3107,東証1部,ダイワボウホールディングス(株),01/10,4870,4.84 %,225,172100,掲示板
121,9701,東証2部,(株)東京會舘,01/10,4125,4.83 %,190,5600,掲示板
122,3134,東証1部,Ｈａｍｅｅ(株),01/10,1987,4.80 %,91,204400,掲示板
123,3963,東証1部,(株)シンクロ・フード,01/10,3285,4.78 %,150,38500,掲示板
124,3546,東証1部,ダイユー・リックホールディングス(株),01/10,1384,4.77 %,63,129700,掲示板
125,3772,東証2部,ウェルス・マネジメント(株),01/10,1914,4.76 %,87,10700,掲示板
126,4970,東証JQS,東洋合成工業(株),01/10,1825,4.76 %,83,117000,掲示板
127,3484,マザーズ,(株)テンポイノベーション,01/10,7080,4.73 %,320,32200,掲示板
128,3712,東証2部,(株)情報企画,01/10,2618,4.72 %,118,6100,掲示板
129,6237,東証2部,(株)イワキ,01/10,3660,4.72 %,165,42800,掲示板
130,6188,東証JQS,富士ソフトサービスビューロ(株),01/10,2299,4.69 %,103,27700,掲示板
131,8527,東証1部,(株)愛知銀行,01/10,5800,4.69 %,260,83400,掲示板
132,1688,東証ETF,ETFS 穀物上場投資信託,01/10,403,4.68 %,18,10,掲示板
133,5161,東証2部,西川ゴム工業(株),01/10,2550,4.68 %,114,8700,掲示板
134,6088,東証1部,(株)シグマクシス,01/10,1255,4.67 %,56,365100,掲示板
135,9424,東証1部,日本通信(株),01/10,112,4.67 %,5,2370700,掲示板
136,6532,マザーズ,(株)ベイカレント・コンサルティング,01/10,3160,4.64 %,140,265700,掲示板
137,6561,マザーズ,(株)ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,01/10,2120,4.64 %,94,259500,掲示板
138,4320,東証1部,(株)ＣＥホールディングス,01/10,885,4.61 %,39,120300,掲示板
139,3566,マザーズ,ユニフォームネクスト(株),01/10,4665,4.60 %,205,9000,掲示板
140,6173,マザーズ,(株)アクアライン,01/10,3300,4.60 %,145,2900,掲示板
141,2191,東証JQS,テラ(株),01/10,549,4.57 %,24,380000,掲示板
