0,22d2a,20180115,1659
69,3641,東証JQS,(株)パピレス,15:00,1989,2203.35,-9.73
70,6982,東証2部,(株)リード,15:00,539,596.97,-9.71
71,6901,東証1部,澤藤電機(株),15:00,2335,2582.91,-9.60
72,3793,マザーズ,(株)ドリコム,15:00,1194,1320.29,-9.57
73,9507,東証1部,四国電力(株),15:00,1257,1390.05,-9.57
74,2282,東証1部,日本ハム(株),15:00,2661,2940.03,-9.49
75,9322,東証1部,川西倉庫(株),15:00,2343,2587.96,-9.47
76,8181,東証1部,(株)東天紅,15:00,2131,2350.99,-9.36
77,7265,東証JQS,エイケン工業(株),14:31,715,788.56,-9.33
78,4234,東証JQS,(株)サンエー化研,15:00,899,991.24,-9.31
79,3608,東証1部,(株)ＴＳＩホールディングス,15:00,800,881.64,-9.26
80,8008,東証1部,４℃ホールディングス,15:00,2771,3045.59,-9.02
81,1471,東証ETF,(NEXT FUNDS)JPX日経400インバース,15:00,4490,4934.33,-9.00
82,7849,東証JQS,スターツ出版(株),12:30,1902,2089.95,-8.99
83,4651,東証1部,(株)サニックス,15:00,238,261.23,-8.89
84,6065,東証1部,ライクキッズネクスト(株),15:00,2167,2376.71,-8.82
85,9509,東証1部,北海道電力(株),15:00,736,807.23,-8.82
86,2041,東証ETF,NEXT NOTES NYダウ･ベア･ドルヘッジ ETN,15:00,5060,5541.47,-8.69
87,2408,東証JQS,(株)ＫＧ情報,15:00,727,796.03,-8.67
88,2685,東証1部,(株)アダストリア,15:00,2250,2459.96,-8.54
89,7475,東証1部,アルビス(株),15:00,3865,4225.47,-8.53
90,2178,マザーズ,(株)トライステージ,15:00,528,577.16,-8.52
91,9425,東証JQS,日本テレホン(株),13:52,377,411.79,-8.45
92,8894,東証2部,(株)原弘産,15:00,24,26.21,-8.44
93,3187,マザーズ,(株)サンワカンパニー,15:00,338,369.04,-8.41
94,9969,東証2部,(株)ショクブン,14:59,395,430.73,-8.30
95,6208,東証1部,(株)石川製作所,15:00,3050,3325.51,-8.28
96,3385,東証1部,(株)薬王堂,15:00,2947,3209.88,-8.19
97,7519,東証JQS,五洋インテックス(株),15:00,691,752.43,-8.16
98,4968,東証1部,荒川化学工業(株),15:00,2255,2454.40,-8.12
99,9433,東証1部,ＫＤＤＩ(株),15:00,2763.5,3006.49,-8.08
100,8165,東証1部,(株)千趣会,15:00,621,675.03,-8.00
101,7746,東証JQS,岡本硝子(株),15:00,223,242.36,-7.99
102,4112,東証1部,保土谷化学工業(株),15:00,6340,6888.80,-7.97
103,2901,東証JQS,石垣食品(株),15:00,164,178.19,-7.96
104,3409,東証2部,北日本紡績(株),15:00,1084,1177.61,-7.95
105,2791,東証1部,大黒天物産(株),15:00,4765,5175.47,-7.93
106,4316,東証JQG,(株)ビーマップ,15:00,1782,1935.05,-7.91
107,3634,マザーズ,(株)ソケッツ,15:00,1351,1466.93,-7.90
108,1436,マザーズ,(株)フィット,14:42,1140,1236.71,-7.82
109,3160,東証1部,(株)大光,15:00,941,1020.15,-7.76
110,9233,東証2部,アジア航測(株),15:00,747,809.52,-7.72
111,8527,東証1部,(株)愛知銀行,15:00,5810,6289.60,-7.63
112,7896,東証2部,セブン工業(株),13:06,2036,2201.81,-7.53
113,1580,東証ETF,日経平均ベア上場投信,15:00,4250,4594.13,-7.49
114,1456,東証ETF,ダイワ 上場投信-日経平均インバース,13:40,6880,7434.80,-7.46
115,7477,東証JQS,ムラキ(株),15:00,972,1050.25,-7.45
116,8925,東証2部,(株)アルデプロ,15:00,91,98.32,-7.45
117,6946,東証2部,日本アビオニクス(株),15:00,2622,2832.39,-7.43
118,1571,東証ETF,(NEXT FUNDS)日経平均インバース上場投信,15:00,1586,1712.11,-7.37
119,3856,マザーズ,Ａｂａｌａｎｃｅ(株),14:58,828,893.85,-7.37
120,8278,東証1部,(株)フジ,15:00,2443,2636.69,-7.35
121,7906,東証2部,ヨネックス(株),15:00,739,797.55,-7.34
122,3415,東証1部,(株)ＴＯＫＹＯ　ＢＡＳＥ,15:00,4510,4866.80,-7.33
123,9945,東証1部,(株)プレナス,15:00,2205,2378.92,-7.31
124,9743,東証1部,(株)丹青社,15:00,1241,1338.37,-7.28
125,3753,東証2部,(株)フライトホールディングス,15:00,742,800.17,-7.27
126,3320,東証2部,クロスプラス(株),15:00,1212,1306.91,-7.26
127,7615,東証1部,京都きもの友禅(株),15:00,770,830.16,-7.25
128,3583,東証2部,オーベクス(株),14:27,1021,1100.41,-7.22
129,8154,東証1部,加賀電子(株),15:00,3035,3271.20,-7.22
130,2359,東証1部,(株)コア,15:00,1549,1668.75,-7.18
131,6666,東証JQS,リバーエレテック(株),15:00,426,458.96,-7.18
132,1465,東証ETF,ダイワ上場投信-JPX日経400インバース,09:00,6980,7514.00,-7.11
133,5282,東証2部,ジオスター(株),15:00,789,848.83,-7.05
134,7183,マザーズ,あんしん保証(株),15:00,415,446.47,-7.05
135,9318,東証2部,アジア開発キャピタル(株),15:00,13,13.99,-7.05
136,8356,東証1部,(株)十六銀行,15:00,3290,3538.27,-7.02
137,2154,東証1部,(株)トラスト・テック,15:00,3120,3354.95,-7.00
138,3157,東証1部,ジューテックホールディングス(株),15:00,1346,1447.20,-6.99
139,6840,東証JQS,(株)ＡＫＩＢＡホールディングス,14:58,317,340.80,-6.98
140,2438,マザーズ,(株)アスカネット,15:00,1559,1675.63,-6.96
141,1803,東証1部,清水建設(株),15:00,1164,1250.95,-6.95
142,6190,マザーズ,(株)フェニックスバイオ,15:00,1225,1316.33,-6.94
143,5105,東証1部,東洋ゴム工業(株),15:00,2249,2415.83,-6.91
144,1457,東証ETF,ダイワ 上場投信-TOPIXインバース（-1倍）,09:00,7030,7544.13,-6.82
145,2321,東証JQG,(株)ソフトフロントホールディングス,15:00,167,179.11,-6.76
146,1870,東証1部,矢作建設工業(株),15:00,921,987.53,-6.74
