0,33d2b,20180123,1645
1,8201,東証1部,さが美グループホールディングス(株),15:00,157,25609000,179800,142.430
2,3054,東証JQS,(株)ハイパー,15:00,1888,4422900,47260,93.587
3,1599,東証ETF,ダイワ 上場投信-JPX日経400,13:32,17110,37084,703,52.721
4,1992,東証JQS,神田通信機(株),15:00,2900,12000,325,36.923
5,6647,東証2部,森尾電機(株),14:58,3315,533500,16460,32.412
6,3469,東証JQS,(株)デュアルタップ,15:00,3755,289400,11080,26.119
7,4231,東証1部,タイガースポリマー(株),15:00,930,320800,12900,24.868
8,4551,東証1部,鳥居薬品(株),15:00,3160,391500,16160,24.226
9,8191,東証JQS,(株)光製作所,15:00,6590,18800,850,22.118
10,2069,東証ETF,NEXT NOTES 低ベータ50(NR)ETN,15:00,11810,8050,392,20.549
11,3741,東証1部,(株)セック,15:00,2923,768600,39900,19.263
12,8912,東証2部,(株)エリアクエスト,15:00,290,10015300,539080,18.579
13,3856,マザーズ,Ａｂａｌａｎｃｅ(株),15:00,1042,247500,13980,17.704
14,2045,東証ETF,NEXT NOTES S&P シンガポール リート(NR)ETN,13:22,12280,688,39,17.529
15,7997,東証2部,(株)くろがね工作所,15:00,1699,116700,6660,17.523
16,7169,東証JQS,(株)ニュートン・フィナンシャル・コンサルティング,15:00,1972,67600,4140,16.329
17,1364,東証ETF,ｉシェアーズ JPX日経400 ETF,14:50,17210,2277,148,15.344
18,9265,東証1部,ヤマシタヘルスケアホールディングス(株),15:00,1581,70600,4940,14.291
19,6591,東証2部,西芝電機(株),15:00,183,738800,51920,14.230
20,4770,東証2部,図研エルミック(株),15:00,530,243700,17260,14.119
21,9827,東証JQS,リリカラ(株),15:00,175,640000,49800,12.851
22,1479,東証ETF,ダイワ 上場投信-MSCI日本株人材設備投資指数,09:00,21790,47,4,12.818
23,3953,東証JQS,大村紙業(株),15:00,2100,339900,28380,11.977
24,1311,東証ETF,TOPIXCore30連動型上場投資信託,14:57,865,58310,4984,11.699
25,3544,東証1部,サツドラホールディングス(株),15:00,2387,877800,76780,11.433
26,6560,マザーズ,(株)エル・ティー・エス,15:00,2561,647100,56800,11.393
27,7175,東証JQS,今村証券(株),15:00,2055,38700,3600,10.750
28,3306,東証2部,日本製麻(株),15:00,453,37900,4020,9.428
29,2776,東証JQS,新都ホールディングス(株),15:00,262,6967900,749580,9.296
30,1642,東証ETF,ダイワ 上場投信･TOPIX-17電機･精密,09:16,22060,65,7,9.028
31,1493,東証ETF,One ETF JPX日経中小型,14:34,16360,364,41,8.988
32,5289,東証2部,ゼニス羽田ホールディングス(株),15:00,443,4021000,471560,8.527
33,3927,マザーズ,(株)アークン,15:00,1087,1851600,225540,8.210
