0,33d2a,20180112,1840
1,1479,東証ETF,ダイワ 上場投信-MSCI日本株人材設備投資指数,13:57,21450,19002,16,1187.625,掲示板
2,1481,東証ETF,上場インデックスファンド日本経済貢献株,14:59,1698,107,1,107.000,掲示板
3,1499,東証ETF,MAXIS 日本株高配当70マーケットニュートラル,11:15,10020,102,1,102.000,掲示板
4,1389,東証ETF,UBS ETF 英国大型株100(FTSE 100),09:57,10970,200,2,100.000,掲示板
5,1653,東証ETF,ダイワ 上場投信-MSCIジャパンESGセレクト･R指数,14:19,2193,30640,390,78.564,掲示板
6,2069,東証ETF,NEXT NOTES 低ベータ50(NR)ETN,13:13,11760,4800,75,64.000,掲示板
7,2065,東証ETF,NEXT NOTES 日本株配当貴族（ドルH、NR）ETN,15:00,12690,1304,21,62.095,掲示板
8,1635,東証ETF,ダイワ 上場投信･TOPIX-17エネルギー資源,14:48,18550,199,4,49.750,掲示板
9,6307,東証2部,サンセイ(株),15:00,379,611900,14700,41.626,掲示板
10,3370,東証JQS,(株)フジタコーポレーション,15:00,3940,516100,14500,35.593,掲示板
11,9972,東証1部,アルテック(株),15:00,457,17994500,584600,30.781,掲示板
12,1622,東証ETF,(NEXT FUNDS)自動車･輸送機上場投信,11:16,25030,61,2,30.500,掲示板
13,7208,東証2部,(株)カネミツ,15:00,1331,288000,13400,21.493,掲示板
14,2796,東証1部,ファーマライズホールディングス(株),15:00,628,92300,4900,18.837,掲示板
15,3921,マザーズ,(株)ネオジャパン,15:00,1694,1158200,66600,17.390,掲示板
16,3710,東証JQS,ジョルダン(株),10:46,1116,5900,400,14.750,掲示板
17,1477,東証ETF,iシェアーズ MSCI 日本株最小分散 ETF,14:41,1973,204,14,14.571,掲示板
18,2514,東証ETF,(NEXT FUNDS)外国株式･MSCI-KOKUSAI(H有),14:58,1048,140,10,14.000,掲示板
19,7299,東証2部,フジオーゼックス(株),14:59,5550,5400,400,13.500,掲示板
20,7521,東証JQS,(株)ムサシ,15:00,1930,15800,1200,13.167,掲示板
21,9476,東証JQS,(株)中央経済社ホールディングス,14:59,512,1300,100,13.000,掲示板
22,5820,東証JQS,(株)三ッ星,14:55,2040,2500,200,12.500,掲示板
23,5724,東証JQS,(株)アサカ理研,15:00,2126,266500,22100,12.059,掲示板
24,1987,東証2部,(株)ソルコム,15:00,2090,21000,1800,11.667,掲示板
25,3944,東証2部,古林紙工(株),14:48,2800,3400,300,11.333,掲示板
26,2573,東証2部,北海道コカ・コーラボトリング(株),14:33,764,11000,1000,11.000,掲示板
27,9083,東証2部,神姫バス(株),12:35,4200,3200,300,10.667,掲示板
28,7638,東証JQS,(株)ＮＥＷ　ＡＲＴ,15:00,30,8172300,776500,10.525,掲示板
29,3803,東証JQG,イメージ情報開発(株),10:33,856,2100,200,10.500,掲示板
30,3515,東証JQS,(株)フジコー,14:12,4310,1000,100,10.000,掲示板
31,5997,東証JQS,協立エアテック(株),14:54,777,5900,600,9.833,掲示板
32,6912,東証JQS,菊水電子工業(株),15:00,1239,335600,35200,9.534,掲示板
33,6835,東証2部,アライドテレシスホールディングス(株),15:00,104,45442200,4808500,9.450,掲示板
34,1575,東証ETF,ChinaAMC CSI 300 Index ETF-JDR,14:08,739,920,100,9.200,掲示板
35,2373,東証JQS,(株)ケア２１,14:56,3390,3500,400,8.750,掲示板
36,6484,東証JQS,(株)ＫＶＫ,15:00,1795,3500,400,8.750,掲示板
37,6635,東証JQS,(株)大日光・エンジニアリング,14:48,825,3500,400,8.750,掲示板
38,1548,東証ETF,上場インデックスファンド中国H株,13:23,1464,660,80,8.250,掲示板
39,9600,東証1部,(株)アイネット,15:00,1751,35700,4400,8.114,掲示板
40,4779,東証1部,ソフトブレーン(株),15:00,420,693400,86100,8.053,掲示板
41,2047,東証ETF,NEXT NOTES インドNifty・ベア ETN,13:11,7950,16,2,8.000,掲示板
42,7462,東証JQS,ダイヤ通商(株),13:18,926,4800,600,8.000,掲示板
43,9082,東証2部,大和自動車交通(株),14:51,1002,800,100,8.000,掲示板
44,9909,東証JQS,愛光電気(株),11:25,1530,800,100,8.000,掲示板
45,9179,東証2部,川崎近海汽船(株),14:30,3990,7900,1000,7.900,掲示板
46,3415,東証1部,(株)ＴＯＫＹＯ　ＢＡＳＥ,15:00,4750,1600200,207700,7.704,掲示板
47,3611,東証1部,(株)マツオカコーポレーション,15:00,4400,1501600,198200,7.576,掲示板
48,1587,東証ETF,iシェアーズ米国超大型株ETF-JDR(S&P100),15:00,13480,8380,1108,7.563,掲示板
49,4761,東証2部,(株)さくらケーシーエス,14:50,696,1500,200,7.500,掲示板
50,5945,東証JQS,天龍製鋸(株),14:57,3015,1500,200,7.500,掲示板
51,7887,東証2部,南海プライウッド(株),14:13,6350,4500,600,7.500,掲示板
52,3349,東証1部,(株)コスモス薬品,15:00,19010,927700,124500,7.451,掲示板
53,1673,東証ETF,ETFS 銀上場投信,13:08,1840,440,60,7.333,掲示板
54,9704,東証1部,(株)アゴーラ・ホスピタリティー・グループ,15:00,36,1941000,271000,7.162,掲示板
55,8068,東証1部,菱洋エレクトロ(株),15:00,1922,502900,70700,7.113,掲示板
56,1490,東証ETF,上場MSCI日本株高配当低ボラティリティ(βH),09:00,10000,70,10,7.000,掲示板
57,6542,東証JQS,(株)ＦＣホールディングス,15:00,832,11200,1600,7.000,掲示板
58,7878,東証JQS,(株)光・彩,14:53,2755,1400,200,7.000,掲示板
59,8191,東証JQS,(株)光製作所,14:52,5300,1400,200,7.000,掲示板
60,7818,東証1部,(株)トランザクション,15:00,1202,1353400,194800,6.948,掲示板
61,6548,マザーズ,(株)旅工房,15:00,1320,1509700,219100,6.890,掲示板
62,3998,マザーズ,(株)すららネット,15:00,3755,230200,33500,6.872,掲示板
63,8200,東証1部,(株)リンガーハット,15:00,2404,953100,138900,6.862,掲示板
64,6897,東証2部,ツインバード工業(株),15:00,829,88200,12900,6.837,掲示板
65,1773,東証1部外国,ＹＴＬ,14:16,40,34000,5000,6.800,掲示板
66,7505,東証2部,扶桑電通(株),13:38,4025,2000,300,6.667,掲示板
67,2156,東証JQS,セーラー広告(株),15:00,379,86200,13100,6.580,掲示板
68,1471,東証ETF,(NEXT FUNDS)JPX日経400インバース,14:55,4505,900,138,6.522,掲示板
69,4669,東証JQS,(株)ニッパンレンタル,13:16,1896,1300,200,6.500,掲示板
70,3317,東証JQS,(株)フライングガーデン,15:00,3965,16600,2600,6.385,掲示板
71,3935,マザーズ,(株)エディア,15:00,1345,629200,98600,6.381,掲示板
72,2134,東証JQS,燦キャピタルマネージメント(株),15:00,82,4672200,740400,6.310,掲示板
73,1580,東証ETF,日経平均ベア上場投信,14:30,4270,74430,11870,6.270,掲示板
74,2292,東証1部,Ｓ　ＦＯＯＤＳ(株),15:00,4695,406000,66400,6.114,掲示板
75,6155,東証2部,高松機械工業(株),15:00,1320,35800,5900,6.068,掲示板
76,1798,東証JQS,(株)守谷商会,13:46,2055,1800,300,6.000,掲示板
77,2737,東証1部,(株)トーメンデバイス,15:00,3415,10200,1700,6.000,掲示板
78,3069,東証JQS,(株)アスラポート・ダイニング,15:00,471,323300,54200,5.965,掲示板
79,9797,東証2部,大日本コンサルタント(株),15:00,553,11800,2000,5.900,掲示板
80,6467,東証JQS,(株)ニチダイ,15:00,709,65800,11200,5.875,掲示板
81,6937,東証1部,古河電池(株),15:00,1198,682500,117200,5.823,掲示板
82,3951,東証2部,朝日印刷(株),15:00,1370,22400,3900,5.744,掲示板
83,6494,東証JQS,(株)ＮＦＫホールディングス,15:00,169,11862600,2075100,5.717,掲示板
84,2791,東証1部,大黒天物産(株),15:00,4755,74200,13000,5.708,掲示板
