0,1w2a,20180112,2036
67,5753,東証2部,日本伸銅(株),2590,16.04 %,358,62300,掲示板
68,6307,東証2部,サンセイ(株),379,15.90 %,52,664500,掲示板
69,6218,東証1部,エンシュウ(株),176,15.79 %,24,18168000,掲示板
70,4814,東証JQS,ネクストウェア(株),407,15.63 %,55,3474000,掲示板
71,9470,東証1部,(株)学研ホールディングス,5750,15.23 %,760,277900,掲示板
72,3768,東証2部,リスクモンスター(株),1708,15.17 %,225,270800,掲示板
73,9972,東証1部,アルテック(株),457,15.11 %,60,20329400,掲示板
74,4343,東証1部,(株)イオンファンタジー,5740,15.03 %,750,662500,掲示板
75,3271,東証1部,(株)ＴＨＥグローバル社,1017,14.92 %,132,1887300,掲示板
76,2471,東証JQS,(株)エスプール,3465,14.74 %,445,53700,掲示板
77,6088,東証1部,(株)シグマクシス,1387,14.63 %,177,1823000,掲示板
78,3625,東証JQG,テックファームホールディングス(株),1747,14.33 %,219,1368700,掲示板
79,7647,東証2部,(株)音通,40,14.29 %,5,81859700,掲示板
80,6964,東証2部,(株)サンコー,683,14.21 %,85,319500,掲示板
81,5698,東証2部,(株)エンビプロ・ホールディングス,1024,14.16 %,127,1580200,掲示板
82,6255,マザーズ,(株)エヌ・ピー・シー,267,14.10 %,33,7916700,掲示板
83,2164,東証JQG,(株)地域新聞社,494,14.09 %,61,323500,掲示板
84,3925,マザーズ,(株)ダブルスタンダード,7950,14.06 %,980,157400,掲示板
85,6822,東証JQS,大井電気(株),377,13.90 %,46,490000,掲示板
86,6235,東証1部,(株)オプトラン,3130,13.82 %,380,2657600,掲示板
87,6067,マザーズ,(株)メディアフラッグ,858,13.79 %,104,327200,掲示板
88,7003,東証1部,三井造船(株),2052,13.68 %,247,10740600,掲示板
89,7928,東証JQS,旭化学工業(株),715,13.67 %,86,217200,掲示板
90,4591,マザーズ,(株)リボミック,684,13.62 %,82,1610400,掲示板
91,6844,東証1部,新電元工業(株),10350,13.61 %,1240,421100,掲示板
92,4583,マザーズ,(株)カイオム・バイオサイエンス,393,13.26 %,46,1903200,掲示板
93,5724,東証JQS,(株)アサカ理研,2126,13.21 %,248,345900,掲示板
