what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480479513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480502822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1343480506738
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480507131
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480507227
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480521435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480545656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480582882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480584950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480621220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480632890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480635374
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480637128
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480656589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480678397
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480680644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343480681990
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480683702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343480728294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480729958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480739880
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480741075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343480743234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343480744147
