TSP runs for D&S factor = 2.
Num of Cities, Iteration, D&S time, D&S cost, NN time, NN cost, DST time, DST cost
1000, 3, 0.06, 350233, 2.01, 301165, 6.43, 320065
1000, 4, 0.06, 354793, 1.99, 283345, 6.43, 319434
1000, 5, 0.06, 350979, 1.98, 291119, 6.43, 316235
1000, 6, 0.06, 358986, 1.97, 286412, 6.42, 314034
1000, 7, 0.06, 353489, 1.98, 292385, 6.45, 322738
1000, 8, 0.06, 352896, 1.97, 284042, 6.43, 317503
1000, 9, 0.06, 352653, 1.98, 286216, 6.43, 315457
1000, 10, 0.06, 355807, 1.98, 284980, 6.45, 321034
1000, 11, 0.06, 355579, 1.98, 288859, 6.49, 323010
1000, 12, 0.06, 351121, 1.97, 280926, 6.44, 309917
1000, 13, 0.06, 356786, 1.98, 290494, 6.39, 325041
1000, 14, 0.06, 355261, 1.98, 296914, 6.44, 327596
1000, 15, 0.06, 351766, 1.98, 282639, 6.46, 326307
1000, 16, 0.06, 350877, 1.99, 286239, 6.45, 319045
1000, 17, 0.06, 353151, 1.98, 291302, 6.43, 322852
1000, 18, 0.06, 352161, 1.97, 304222, 6.43, 331998
1000, 19, 0.06, 354512, 1.98, 271320, 6.42, 328698
1000, 20, 0.06, 357827, 1.97, 284562, 6.43, 327933
1000, 21, 0.06, 350348, 1.98, 283734, 6.44, 322389
1000, 22, 0.06, 354492, 1.97, 284232, 6.44, 325543
1000, 23, 0.06, 352312, 1.98, 285001, 6.43, 325024
2000, 0, 0.16, 509609, 7.92, 410882, 25.93, 461889
2000, 1, 0.17, 505912, 7.94, 404934, 25.82, 453727
2000, 2, 0.16, 505354, 7.96, 411444, 25.83, 459486
2000, 3, 0.16, 507734, 7.93, 417475, 25.86, 460805
2000, 4, 0.16, 506390, 7.95, 408520, 25.82, 449774
2000, 5, 0.16, 505969, 7.95, 407547, 25.86, 454987
2000, 6, 0.16, 507160, 8, 396417, 25.92, 461693
2000, 7, 0.16, 507456, 7.93, 405655, 25.81, 450555
2000, 8, 0.16, 506385, 7.97, 402129, 25.89, 454836
2000, 9, 0.16, 505286, 8, 391049, 25.92, 456036
2000, 10, 0.16, 507351, 8, 397256, 26.09, 452087
2000, 11, 0.16, 507108, 7.98, 401256, 25.97, 452271
2000, 12, 0.16, 511550, 7.98, 414264, 25.95, 457567
2000, 13, 0.16, 505310, 7.92, 393178, 25.8, 456499
2000, 14, 0.16, 507440, 7.97, 394444, 25.88, 452122
2000, 15, 0.16, 508240, 7.92, 412162, 25.79, 459289
2000, 16, 0.16, 506799, 7.98, 405982, 25.84, 453886
2000, 17, 0.16, 508530, 7.92, 395503, 25.79, 444192
2000, 18, 0.16, 509135, 7.96, 408244, 25.8, 455646
2000, 19, 0.16, 505071, 7.97, 411988, 25.9, 450420
2000, 20, 0.16, 509823, 7.99, 407078, 26.04, 450181
2000, 21, 0.16, 505584, 7.98, 392861, 25.99, 456877
2000, 22, 0.16, 509769, 7.97, 410799, 25.88, 454183
2000, 23, 0.16, 506339, 7.92, 398687, 25.85, 451144
