Cities, Avr. NN run time, Avr. D&S run time, 2, 2, 2, 2.2, 2.2, 2.2, 2.4, 2.4, 2.4, 2.6, 2.6, 2.6, 2.8, 2.8, 2.8, 3, 3, 3, 3.2, 3.2, 3.2, 3.4, 3.4, 3.4, 3.6, 3.6, 3.6, 3.8, 3.8, 3.8, 4, 4, 4, 4.2, 4.2, 4.2, 4.4, 4.4, 4.4, 4.6, 4.6, 4.6, 4.8, 4.8, 4.8, Iteration 100.
100, 0.00989999, 0.0028, 1.09725, 1.29789, 0.900685, 1.09725, 1.29789, 0.900685, 1.09725, 1.29789, 0.900685, 1.02199, 1.23078, 0.83762, 1.02199, 1.23078, 0.83762, 1.02199, 1.23078, 0.83762, 1.02199, 1.23078, 0.83762, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 0.989354, 1.16138, 0.804128, 
250, 0.0598, 0.0071001, 1.17262, 1.29886, 1.03792, 1.17262, 1.29886, 1.03792, 1.10414, 1.21861, 0.963682, 1.10414, 1.21861, 0.963682, 1.04514, 1.1543, 0.904364, 1.04514, 1.1543, 0.904364, 1.01755, 1.14569, 0.896918, 1.01755, 1.14569, 0.896918, 1.01755, 1.14569, 0.896918, 1.01755, 1.14569, 0.896918, 1.04634, 1.15853, 0.965453, 1.04634, 1.15853, 0.965453, 1.04634, 1.15853, 0.965453, 1.04634, 1.15853, 0.965453, 1.04634, 1.15853, 0.965453, 
500, 0.2303, 0.0187136, 1.24918, 1.35272, 1.15343, 1.18904, 1.29727, 1.12172, 1.13083, 1.24024, 1.05487, 1.08407, 1.16087, 1.01628, 1.05004, 1.1129, 0.975222, 1.05004, 1.1129, 0.975222, 1.02932, 1.09735, 0.927683, 1.02932, 1.09735, 0.927683, 1.02932, 1.09735, 0.927683, 1.03217, 1.10403, 0.944162, 1.03217, 1.10403, 0.944162, 1.03217, 1.10403, 0.944162, 1.03217, 1.10403, 0.944162, 1.08401, 1.17477, 0.993391, 1.08401, 1.17477, 0.993391, 
750, 0.5283, 0.0315467, 1.23802, 1.33356, 1.16555, 1.18593, 1.27426, 1.11763, 1.14207, 1.20656, 1.06706, 1.10074, 1.20101, 1.03233, 1.06856, 1.14431, 0.995474, 1.06856, 1.14431, 0.995474, 1.04703, 1.11328, 0.981765, 1.04703, 1.11328, 0.981765, 1.0431, 1.12365, 0.968536, 1.0431, 1.12365, 0.968536, 1.05767, 1.15324, 0.974725, 1.05767, 1.15324, 0.974725, 1.05767, 1.15324, 0.974725, 1.10456, 1.18877, 1.01913, 1.10456, 1.18877, 1.01913, 
1000, 0.944, 0.0465203, 1.24206, 1.33665, 1.18647, 1.19809, 1.27696, 1.13683, 1.15645, 1.24693, 1.09977, 1.1194, 1.20987, 1.06815, 1.08838, 1.17158, 1.02904, 1.06414, 1.1404, 1.01075, 1.04652, 1.11976, 0.999537, 1.04652, 1.11976, 0.999537, 1.04476, 1.11659, 0.992639, 1.04476, 1.11659, 0.992639, 1.066, 1.13429, 1.00076, 1.066, 1.13429, 1.00076, 1.066, 1.13429, 1.00076, 1.10443, 1.17463, 1.04129, 1.10443, 1.17463, 1.04129, 
2500, 5.9866, 0.16222, 1.26336, 1.30588, 1.2203, 1.2047, 1.24836, 1.16666, 1.14981, 1.18729, 1.10459, 1.12619, 1.16728, 1.07871, 1.08943, 1.13137, 1.04781, 1.0737, 1.10494, 1.03743, 1.06224, 1.09605, 1.02224, 1.0596, 1.09412, 1.01791, 1.0592, 1.1003, 1.01993, 1.0592, 1.1003, 1.01993, 1.06635, 1.10686, 1.03252, 1.08897, 1.12866, 1.05226, 1.08897, 1.12866, 1.05226, 1.11993, 1.16812, 1.07589, 1.11993, 1.16812, 1.07589, 
5000, 23.933, 0.417527, 1.29441, 1.32556, 1.25301, 1.22881, 1.25944, 1.18767, 1.16893, 1.19815, 1.13376, 1.13356, 1.16093, 1.10092, 1.10468, 1.13137, 1.06991, 1.08243, 1.11673, 1.04707, 1.07483, 1.10467, 1.04289, 1.06487, 1.10281, 1.03843, 1.06714, 1.09528, 1.04292, 1.07078, 1.09769, 1.04018, 1.08014, 1.10399, 1.05463, 1.09172, 1.12561, 1.06439, 1.09172, 1.12561, 1.06439, 1.11286, 1.14121, 1.07245, 1.14308, 1.18058, 1.10465, 
7500, 53.8613, 0.727935, 1.3018, 1.33076, 1.27444, 1.22934, 1.25793, 1.20566, 1.18012, 1.20802, 1.15147, 1.13729, 1.163, 1.11111, 1.10228, 1.13069, 1.07901, 1.08615, 1.11205, 1.06174, 1.07887, 1.10305, 1.0557, 1.07267, 1.09992, 1.04437, 1.07128, 1.09751, 1.03835, 1.07724, 1.10462, 1.04976, 1.08557, 1.10917, 1.05417, 1.09538, 1.11459, 1.0692, 1.11057, 1.13456, 1.08367, 1.13134, 1.16104, 1.103, 1.13134, 1.16104, 1.103, 
10000, 95.731, 1.07856, 1.29169, 1.31856, 1.27116, 1.2286, 1.26035, 1.20751, 1.17314, 1.19778, 1.15567, 1.13613, 1.16306, 1.11839, 1.1065, 1.13151, 1.08462, 1.09049, 1.11527, 1.06932, 1.07875, 1.1006, 1.05806, 1.07321, 1.09782, 1.05463, 1.07335, 1.0999, 1.05055, 1.07686, 1.1004, 1.05451, 1.09018, 1.11513, 1.06636, 1.09942, 1.12198, 1.07553, 1.11435, 1.14252, 1.09509, 1.13195, 1.15296, 1.10603, 1.15123, 1.17496, 1.12438, 
15000, 215.27, 1.9102, 1.31229, 1.33167, 1.29099, 1.23338, 1.25584, 1.2129, 1.18698, 1.20536, 1.1657, 1.14543, 1.16108, 1.12568, 1.11201, 1.13018, 1.08973, 1.09274, 1.11174, 1.07327, 1.08481, 1.1027, 1.06687, 1.07928, 1.09817, 1.0603, 1.07773, 1.09865, 1.0612, 1.08266, 1.10096, 1.0652, 1.09142, 1.11221, 1.0707, 1.09936, 1.11953, 1.07704, 1.12016, 1.1364, 1.10054, 1.13495, 1.15982, 1.11007, 1.15265, 1.17329, 1.13192, 
20000, 382.89, 2.87377, 1.30687, 1.32205, 1.28667, 1.23859, 1.25454, 1.21855, 1.17792, 1.19272, 1.15889, 1.14308, 1.15658, 1.12643, 1.11533, 1.12835, 1.09757, 1.0974, 1.11255, 1.08114, 1.08512, 1.09958, 1.06756, 1.07917, 1.09271, 1.06293, 1.07896, 1.09465, 1.06122, 1.08267, 1.10109, 1.06284, 1.09113, 1.10734, 1.07548, 1.10531, 1.12614, 1.08656, 1.11518, 1.13375, 1.09837, 1.13724, 1.15247, 1.11556, 1.15253, 1.17217, 1.13502, 
