Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
2743,ピクセルカンパニーズ　普通株式,UBS AG,2018-07-19,0.0075,143200,2018-07-18 00:00:00,0.0076
2884,ヨシムラ・フード・ホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.006,131500,2018-06-20 00:00:00,0.0058
2930,北の達人コーポレーション　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0067,947600,2018-07-17 00:00:00,0.005699999999999999
3001,片倉工業　普通株式,Societe Generale,2018-07-20,0.0105,372400,2018-07-19 00:00:00,0.0032
3050,ＤＣＭホールディングス　普通株式,Nomura International plc,2018-07-19,0.015,2148027,2018-07-13 00:00:00,0.0148
3053,ペッパーフードサービス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0125,261719,2018-07-19 00:00:00,0.011399999999999999
3073,ＤＤホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0106,83300,2018-07-18 00:00:00,0.011000000000000001
3073,ＤＤホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0072,56200,2018-07-18 00:00:00,0.0072
3083,シーズメン　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0101,20300,2018-07-18 00:00:00,0.0052
3083,シーズメン　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0087,17500,2018-06-20 00:00:00,0.009000000000000001
3083,シーズメン　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.0058,11700,2018-07-17 00:00:00,0.0052
3083,シーズメン　普通株式,UBS AG,2018-07-19,0.0064,12800,2018-07-18 00:00:00,0.0057
3087,ドトール・日レスホールディングス　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0203,1028019,2018-07-12 00:00:00,0.019299999999999998
3099,三越伊勢丹ホールディングス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.005,1978339,2018-04-12 00:00:00,0.004
3111,オーミケンシ　普通株式,Nomura International plc,2018-07-19,0.0085,562000,2018-07-18 00:00:00,0.0079
3139,ラクト・ジャパン　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0074,36300,2018-07-17 00:00:00,0.0060999999999999995
3139,ラクト・ジャパン　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0076,37485,2018-07-19 00:00:00,0.008
3189,ＡＮＡＰ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.014499999999999999,67700,2018-07-18 00:00:00,0.0129
3193,鳥貴族　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0113,131400,2018-07-11 00:00:00,0.0108
3193,鳥貴族　普通株式,Nomura International plc,2018-07-19,0.005600000000000001,65400,2018-07-17 00:00:00,0.0069
3202,ダイトウボウ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0066,198600,2018-07-18 00:00:00,0.0075
3236,プロパスト　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0045000000000000005,129500,2018-07-17 00:00:00,0.0054
3236,プロパスト　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0079,225300,2018-07-17 00:00:00,0.0064
3236,プロパスト　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0085,241500,2018-07-19 00:00:00,0.0079
3245,ディア・ライフ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.012,453600,2018-07-11 00:00:00,0.0113
3250,エー・ディー・ワークス　普通株式,個人,2018-07-20,0.0074,2400000,,
3267,フィル・カンパニー　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0086,47800,2018-07-18 00:00:00,0.009899999999999999
3267,フィル・カンパニー　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.005,27900,2018-07-18 00:00:00,0.005
3271,ＴＨＥグローバル社　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0068000000000000005,92600,2018-07-12 00:00:00,0.0077
3323,レカム　普通株式,Nomura International plc,2018-07-19,0.0327,2188300,2018-07-18 00:00:00,0.029500000000000002
3356,テリロジー　普通株式,Nomura International plc,2018-07-19,0.005699999999999999,89500,2018-07-18 00:00:00,0.0039000000000000003
3356,テリロジー　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0292,459400,2018-07-19 00:00:00,0.0337
3370,フジタコーポレーション　普通株式,UBS AG,2018-07-19,0.0058,8500,2018-07-18 00:00:00,0.0046
3387,クリエイト・レストランツ・ホールディングス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0079,748696,2018-07-18 00:00:00,0.0063
3390,ＩＮＥＳＴ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0079,421200,2018-07-05 00:00:00,0.0087
3415,ＴＯＫＹＯ　ＢＡＳＥ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0121,573055,2018-07-18 00:00:00,0.011899999999999999
3436,ＳＵＭＣＯ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0062,1840889,2018-07-09 00:00:00,0.0054
3441,山王　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0138,69100,2018-07-18 00:00:00,0.0138
3464,プロパティエージェント　普通株式,Citigroup Global Markets Limited,2018-07-19,0.0051,34400,2018-07-18 00:00:00,0.0038
3556,リネットジャパングループ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0053,47700,2018-07-18 00:00:00,0.0053
3558,ロコンド　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0024,27200,2018-07-18 00:00:00,0.0059
3624,アクセルマーク　普通株式,Nomura International plc,2018-07-19,0.008100000000000001,39500,2018-07-18 00:00:00,0.006999999999999999
3624,アクセルマーク　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0052,25100,2018-07-18 00:00:00,0.0052
3625,テックファームホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0119,92000,2018-07-18 00:00:00,0.0119
3627,ネオス　普通株式,個人,2018-07-19,0.0127,120500,,
3627,ネオス　普通株式,個人,2018-07-19,0.022799999999999997,216000,2018-07-18 00:00:00,0.0147
3632,グリー　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0058,1406735,2018-07-03 00:00:00,0.006
3639,ボルテージ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.006999999999999999,36700,2018-07-18 00:00:00,0.006999999999999999
3647,ジー・スリーホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0062,501800,2018-07-12 00:00:00,0.0051
3652,ディジタルメディアプロフェッショナル　普通株式,Nomura International plc,2018-07-19,0.0816,228500,2018-07-18 00:00:00,0.0794
3655,ブレインパッド　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0048,33100,2018-07-18 00:00:00,0.0052
3655,ブレインパッド　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0077,52721,2018-07-19 00:00:00,0.008199999999999999
3656,ＫＬａｂ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0154,581497,2018-07-13 00:00:00,0.0143
3661,エムアップ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0067,50700,2018-07-18 00:00:00,0.009399999999999999
3661,エムアップ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0068000000000000005,51200,2018-07-18 00:00:00,0.006999999999999999
3661,エムアップ　普通株式,Nomura International plc,2018-07-19,0.012,90200,2018-07-18 00:00:00,0.0091
3667,ｅｎｉｓｈ　普通株式,Nomura International plc,2018-07-19,0.0137,123500,2018-07-18 00:00:00,0.0124
3672,オルトプラス　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.0055,75500,2018-07-18 00:00:00,0.0058
3678,メディアドゥホールディングス　普通株式,Citigroup Global Markets Limited,2018-07-19,0.0104,119000,2018-07-17 00:00:00,0.0097
3680,ホットリンク　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.011000000000000001,146000,2018-07-19 00:00:00,0.0088
3681,ブイキューブ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0064,153300,2018-07-18 00:00:00,0.006500000000000001
3686,ディー・エル・イー　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.007,142800,2018-07-17 00:00:00,0.0068
3686,ディー・エル・イー　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0116,235800,2018-07-18 00:00:00,0.0116
3687,フィックスターズ　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0064,217600,2018-07-12 00:00:00,0.0078000000000000005
3691,リアルワールド　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.006500000000000001,22400,2018-07-18 00:00:00,0.006500000000000001
3692,ＦＦＲＩ　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0086,70536,2018-07-09 00:00:00,0.0096
3692,ＦＦＲＩ　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0125,102354,2018-07-19 00:00:00,0.004
3696,セレス　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0095,108700,2018-07-13 00:00:00,0.0089
3719,ジェクシード　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.005500000000000001,102200,2018-07-18 00:00:00,0.005500000000000001
3719,ジェクシード　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.028900000000000002,535700,2018-07-04 00:00:00,0.0291
3760,ケイブ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.005,15700,2018-07-18 00:00:00,0.005
3765,ガンホー・オンライン・エンターテイメント　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0064,6096329,2018-07-05 00:00:00,0.0058
3765,ガンホー・オンライン・エンターテイメント　普通株式,Nomura International plc,2018-07-19,0.0049,4705691,2018-07-11 00:00:00,0.0058
3765,ガンホー・オンライン・エンターテイメント　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0304,28982997,2018-07-17 00:00:00,0.029300000000000003
3766,システムズ・デザイン　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.006,23900,2018-07-18 00:00:00,0.0058
3769,ＧＭＯペイメントゲートウェイ　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.0059,222822,2018-07-18 00:00:00,0.0053
3773,アドバンスト・メディア　普通株式,Nomura International plc,2018-07-19,0.0127,216800,2018-07-11 00:00:00,0.0096
3791,ＩＧポート　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0292,148117,2018-07-18 00:00:00,0.037599999999999995
3791,ＩＧポート　普通株式,Nomura International plc,2018-07-19,0.0168,85000,2018-07-18 00:00:00,0.019299999999999998
3791,ＩＧポート　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.028999999999999998,147031,2018-07-19 00:00:00,0.0304
3793,ドリコム　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0059,172000,2018-07-18 00:00:00,0.0063
3810,サイバーステップ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0202,131000,2018-07-18 00:00:00,0.0189
3825,リミックスポイント　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0068000000000000005,392100,2018-07-17 00:00:00,0.005600000000000001
3845,アイフリークモバイル　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.023,352800,2018-07-12 00:00:00,0.022099999999999998
3845,アイフリークモバイル　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.023,369300,2018-07-18 00:00:00,0.0253
3851,日本一ソフトウェア　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.009899999999999999,50800,2018-07-17 00:00:00,0.0106
3853,インフォテリア　普通株式,Nomura International plc,2018-07-19,0.015,263300,2018-07-18 00:00:00,0.0147
3858,ユビキタスＡＩコーポレーション　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0076,79800,2018-07-18 00:00:00,0.0076
3858,ユビキタスＡＩコーポレーション　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0147,153903,2018-07-12 00:00:00,0.0158
3900,クラウドワークス　普通株式,UBS AG,2018-07-19,0.0129,185000,2018-07-17 00:00:00,0.0128
3900,クラウドワークス　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.004699999999999999,67700,2018-07-13 00:00:00,0.0051
3903,ｇｕｍｉ　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.006500000000000001,196900,2018-07-18 00:00:00,0.0054
3904,カヤック　普通株式,Nomura International plc,2018-07-19,0.0067,102100,2018-07-09 00:00:00,0.005600000000000001
3905,データセクション　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0084,97000,2018-07-18 00:00:00,0.0084
3906,ＡＬＢＥＲＴ　普通株式,Nomura International plc,2018-07-19,0.0068000000000000005,18800,2018-07-17 00:00:00,0.005699999999999999
3906,ＡＬＢＥＲＴ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0067,18300,2018-07-18 00:00:00,0.0067
3907,シリコンスタジオ　普通株式,Citigroup Global Markets Limited,2018-07-19,0.0038,11100,2018-05-18 00:00:00,0.0079
3913,ｓＭｅｄｉｏ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0066,13400,2018-07-18 00:00:00,0.0066
3927,アークン　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.005699999999999999,25400,2018-07-18 00:00:00,0.005699999999999999
3927,アークン　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0213,95100,2018-07-18 00:00:00,0.022799999999999997
3927,アークン　普通株式,ＳＭＢＣ日興証券株式会社,2018-07-20,0.0121,54300,2018-07-13 00:00:00,0.0107
3928,マイネット　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.006,50700,2018-07-12 00:00:00,0.0058
3930,はてな　普通株式,ＳＭＢＣ日興証券株式会社,2018-07-20,0.0125,35800,2018-07-13 00:00:00,0.0111
3932,アカツキ　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0108,150157,2018-06-22 00:00:00,0.011899999999999999
3935,エディア　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.0032,15560,2018-07-18 00:00:00,0.0066
3935,エディア　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.026699999999999998,128400,2018-07-13 00:00:00,0.0253
3963,シンクロ・フード　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.010700000000000001,285200,2018-07-06 00:00:00,0.0113
3965,キャピタル・アセット・プランニング　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0052,13600,2018-07-18 00:00:00,0.0052
3967,エルテス　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0068,35100,2018-07-18 00:00:00,0.0068
3981,ビーグリー　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.009000000000000001,55306,2018-07-18 00:00:00,0.0089
3998,すららネット　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0072,9100,2018-07-19 00:00:00,0.0064
4004,昭和電工　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.007,1062447,2018-07-18 00:00:00,0.0071
4080,田中化学研究所　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.005,128000,2018-06-28 00:00:00,0.0049
4098,チタン工業　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0059,18000,2018-07-18 00:00:00,0.0059
4109,ステラ　ケミファ　普通株式,UBS AG,2018-07-19,0.0097,129400,2018-07-13 00:00:00,0.0099
4222,児玉化学工業　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0089,334230,2018-06-21 00:00:00,0.0091
4222,児玉化学工業　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0124,462000,2018-07-18 00:00:00,0.0124
4245,ダイキアクシス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0052,64700,2018-06-28 00:00:00,0.004
4284,ソルクシーズ　普通株式,Nomura International plc,2018-07-19,0.0051,69300,2018-07-12 00:00:00,0.003
4316,ビーマップ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0076,24500,2018-07-18 00:00:00,0.0076
4331,テイクアンドギヴ・ニーズ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-07-19,0.005699999999999999,74680,2018-07-18 00:00:00,0.004
4344,ソースネクスト　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.006999999999999999,472600,2018-07-17 00:00:00,0.0087
4344,ソースネクスト　普通株式,Nomura International plc,2018-07-19,0.018600000000000002,1253000,2018-07-18 00:00:00,0.0171
4344,ソースネクスト　普通株式,UBS AG,2018-07-19,0.0069,466600,2018-07-18 00:00:00,0.007
4381,ビープラッツ　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0068000000000000005,7800,2018-07-17 00:00:00,0.0075
4461,第一工業製薬　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.006500000000000001,351000,2018-07-06 00:00:00,0.0053
4502,武田薬品工業　普通株式,UBS AG,2018-07-19,0.0101,8043338,2018-07-18 00:00:00,0.0099
