code,date,open,high,low,close,volume
0010,2017/08/09,1630.15,1632.19,1610.46,1617.9,2066310000.0
0010,2017/08/10,1619.64,1623.75,1612.54,1617.25,1964130000.0
0010,2017/08/14,1602.18,1607.33,1596.4,1599.06,1959110000.0
0010,2017/08/15,1611.94,1622.26,1609.83,1616.21,1650800000.0
0010,2017/08/16,1616.03,1619.47,1614.0,1616.0,1435390000.0
0010,2017/08/17,1614.62,1618.41,1612.48,1614.82,1436190000.0
0010,2017/08/18,1595.85,1600.6,1592.23,1597.36,1671730000.0
0010,2017/08/21,1601.02,1601.02,1592.28,1595.19,1406900000.0
0010,2017/08/22,1594.34,1600.24,1593.31,1596.12,1314910000.0
0010,2017/08/23,1610.79,1611.06,1598.44,1600.05,1453320000.0
0010,2017/08/24,1595.89,1601.17,1592.2,1592.2,1442220000.0
0010,2017/08/25,1596.04,1600.89,1593.09,1596.99,1343610000.0
0010,2017/08/28,1600.7,1603.78,1595.03,1600.12,1344920000.0
0010,2017/08/29,1589.29,1598.85,1589.05,1597.76,1387000000.0
0010,2017/08/30,1606.15,1611.66,1601.14,1607.65,1705300000.0
0010,2017/08/31,1614.63,1620.54,1613.73,1617.41,1770350000.0
0010,2017/09/01,1624.37,1624.37,1612.8,1619.59,1630440000.0
0010,2017/09/04,1613.59,1616.04,1600.96,1603.55,1595790000.0
0010,2017/09/05,1605.11,1605.39,1588.94,1590.71,1640260000.0
0010,2017/09/06,1580.77,1593.7,1578.66,1592.0,1665530000.0
0010,2017/09/07,1598.59,1605.83,1594.86,1598.24,1526480000.0
0010,2017/09/08,1593.61,1599.27,1590.33,1593.54,1860420000.0
0010,2017/09/11,1607.69,1618.03,1606.98,1612.26,1498640000.0
0010,2017/09/12,1626.87,1630.18,1624.6,1627.45,1654760000.0
0010,2017/09/13,1636.23,1639.54,1634.58,1637.33,1605110000.0
0010,2017/09/14,1637.54,1642.56,1631.05,1632.13,1662500000.0
0010,2017/09/15,1629.12,1640.95,1628.86,1638.94,1986440000.0
0010,2017/09/19,1655.89,1669.04,1654.96,1667.88,2044590000.0
0010,2017/09/20,1665.84,1671.5,1665.12,1667.92,1756570000.0
0010,2017/09/21,1678.15,1679.83,1668.34,1668.74,1973910000.0
0010,2017/09/22,1672.61,1673.99,1660.0,1664.61,1693710000.0
0010,2017/09/25,1674.33,1676.22,1670.37,1672.82,1529920000.0
0010,2017/09/26,1670.07,1674.54,1669.34,1672.74,1780310000.0
0010,2017/09/27,1664.35,1665.19,1658.9,1664.43,1202270000.0
0010,2017/09/28,1675.27,1676.92,1668.19,1676.17,1603580000.0
0010,2017/09/29,1672.31,1675.27,1668.52,1674.75,1731360000.0
0010,2017/10/02,1677.77,1678.24,1671.05,1673.62,1355840000.0
0010,2017/10/03,1680.27,1685.1,1676.13,1684.46,1450940000.0
0010,2017/10/04,1687.41,1688.97,1681.53,1684.56,1660050000.0
0010,2017/10/05,1685.96,1687.22,1680.95,1682.49,1378350000.0
0010,2017/10/06,1688.14,1690.7,1684.21,1687.16,1459790000.0
0010,2017/10/10,1684.66,1695.14,1683.93,1695.14,1485200000.0
0010,2017/10/11,1693.62,1697.33,1691.11,1696.81,1531580000.0
0010,2017/10/12,1703.15,1703.67,1698.69,1700.13,1536270000.0
0010,2017/10/13,1697.93,1713.65,1695.06,1708.62,1847950000.0
0010,2017/10/16,1713.33,1724.2,1711.37,1719.18,1801250000.0
0010,2017/10/17,1727.09,1728.97,1717.18,1723.37,1593640000.0
0010,2017/10/18,1724.81,1726.44,1720.75,1724.64,1357760000.0
0010,2017/10/19,1730.32,1733.77,1725.96,1730.04,1520380000.0
0010,2017/10/20,1724.47,1732.51,1723.15,1730.64,1522220000.0
0010,2017/10/23,1747.73,1748.01,1741.78,1745.25,1582070000.0
0010,2017/10/24,1743.99,1756.92,1743.33,1756.92,1571560000.0
0010,2017/10/25,1763.88,1764.8,1746.85,1751.43,1968430000.0
0010,2017/10/26,1750.01,1756.34,1748.28,1753.9,1590080000.0
0010,2017/10/27,1763.74,1771.65,1758.25,1771.05,1991180000.0
0010,2017/10/30,1770.94,1772.59,1761.86,1770.84,2371580000.0
0010,2017/10/31,1763.45,1768.25,1758.81,1765.96,1888010000.0
0010,2017/11/01,1775.99,1789.18,1773.98,1786.71,2056820000.0
0010,2017/11/02,1792.98,1794.38,1783.45,1794.08,1868480000.0
0010,2017/11/06,1798.02,1799.62,1784.36,1792.66,1938160000.0
0010,2017/11/07,1790.54,1813.29,1789.57,1813.29,1896650000.0
0010,2017/11/08,1809.07,1817.75,1804.18,1817.6,1868220000.0
0010,2017/11/09,1822.93,1844.05,1791.12,1813.11,2747750000.0
0010,2017/11/10,1790.39,1803.98,1789.7,1800.44,1890460000.0
0010,2017/11/13,1798.04,1798.04,1783.49,1783.49,1565730000.0
0010,2017/11/14,1781.61,1786.84,1776.08,1778.87,1735790000.0
0010,2017/11/15,1768.58,1768.58,1740.25,1744.01,2159180000.0
0010,2017/11/16,1738.26,1768.98,1737.72,1761.71,1774160000.0
0010,2017/11/17,1778.11,1782.23,1758.61,1763.76,1980210000.0
0010,2017/11/20,1756.38,1763.78,1753.88,1759.65,1454660000.0
0010,2017/11/21,1771.69,1778.85,1769.17,1771.13,1528300000.0
0010,2017/11/22,1782.39,1785.19,1775.58,1777.08,1603390000.0
0010,2017/11/24,1769.41,1781.93,1767.2,1780.56,1329640000.0
0010,2017/11/27,1787.94,1788.69,1773.62,1776.73,1372340000.0
0010,2017/11/28,1775.18,1780.88,1767.11,1772.07,1482180000.0
0010,2017/11/29,1783.91,1786.65,1781.65,1786.15,1701830000.0
0010,2017/11/30,1787.37,1795.85,1779.08,1792.08,2445570000.0
0010,2017/12/01,1804.8,1807.86,1787.18,1796.53,1627100000.0
0010,2017/12/04,1801.5,1802.28,1785.79,1786.87,1394430000.0
0010,2017/12/05,1780.46,1794.09,1777.34,1790.97,1477120000.0
