size	merge	r-merge	heap	quick	selection	bubble
2000	0.0020	0.0010	0.0	0.0010	0.012	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.011	0.018
2000	0.0010	0.0010	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0	0.011	0.019
2000	0.0010	0.0	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0	0.011	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.012	0.019
2000	0.0010	0.0010	0.0	0.0	0.012	0.019
2000	0.0010	0.0010	0.0010	0.0	0.012	0.018
2000	0.0010	0.0010	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.011	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.012	0.019
2000	0.0010	0.0010	0.0	0.0	0.012	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.012	0.018
2000	0.0010	0.0010	0.0	0.0	0.012	0.018
2000	0.0010	0.0010	0.0	0.0	0.012	0.018
2000	0.0010	0.0010	0.0010	0.0	0.012	0.018
2000	0.0010	0.0010	0.0	0.0	0.012	0.018
2000	0.0010	0.0010	0.0	0.0010	0.013	0.019
2000	0.0010	0.0010	0.0	0.0	0.013	0.019
2000	0.0010	0.0	0.0	0.0	0.012	0.018
2000	0.0010	0.0010	0.0	0.0010	0.013	0.019
2000	0.0010	0.0010	0.0	0.0	0.013	0.018
2000	0.0010	0.0010	0.0	0.0	0.013	0.019
2000	0.0010	0.0010	0.0010	0.0	0.02	0.019
2000	0.0010	0.0010	0.0	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0	0.0	0.014	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.014	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0	0.0	0.013	0.018
2000	0.0010	0.0010	0.0010	0.0	0.013	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0010	0.0	0.013	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.013	0.018
2000	0.0010	0.0010	0.0	0.0	0.014	0.018
2000	0.0010	0.0020	0.0	0.0	0.013	0.018
2000	0.0010	0.0	0.0	0.0	0.014	0.019
2000	0.0010	0.0	0.0	0.0	0.014	0.019
2000	0.0010	0.0010	0.0	0.0010	0.014	0.019
2000	0.0010	0.0	0.0	0.0	0.014	0.018
2000	0.0010	0.0020	0.0	0.0	0.014	0.019
2000	0.0010	0.0010	0.0	0.0	0.014	0.018
2000	0.0010	0.0010	0.0	0.0	0.014	0.018
2000	0.0010	0.0010	0.0	0.0010	0.015	0.019
2000	0.0010	0.0	0.0	0.0	0.015	0.019
2000	0.0010	0.0010	0.0010	0.0	0.014	0.019
2000	0.0010	0.0	0.0	0.0	0.014	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.015	0.019
2000	0.0010	0.0010	0.0010	0.0	0.014	0.019
2000	0.0010	0.0010	0.0010	0.0	0.015	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.015	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.016	0.019
2000	0.0010	0.0010	0.0010	0.0	0.015	0.019
2000	0.0010	0.0010	0.0	0.0010	0.015	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.015	0.019
2000	0.0010	0.0010	0.0	0.0	0.015	0.018
2000	0.0010	0.0010	0.0	0.0010	0.015	0.018
2000	0.0020	0.0010	0.0010	0.0	0.015	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.015	0.018
2000	0.0010	0.0	0.0	0.0	0.015	0.018
4001	0.0020	0.0020	0.0	0.01	0.032	0.068
4001	0.0020	0.0030	0.0010	0.0050	0.032	0.072
4001	0.0020	0.0030	0.0010	0.0040	0.033	0.072
4001	0.0020	0.0020	0.0010	0.0030	0.033	0.073
4001	0.0030	0.0020	0.0010	0.0030	0.034	0.076
4001	0.0020	0.0020	0.0	0.0020	0.034	0.073
4001	0.0020	0.0020	0.0010	0.0020	0.033	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.034	0.072
4001	0.0030	0.0020	0.0010	0.0020	0.034	0.075
4001	0.0020	0.0020	0.0010	0.0020	0.034	0.074
4001	0.0020	0.0020	0.0010	0.0020	0.034	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.034	0.073
4001	0.0030	0.0020	0.0010	0.0010	0.034	0.073
4001	0.0020	0.0020	0.0010	0.0020	0.036	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.035	0.075
4001	0.0030	0.0020	0.0010	0.0010	0.035	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.035	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.035	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.035	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.035	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.076
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.074
4001	0.0030	0.0020	0.0010	0.0010	0.036	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.074
4001	0.0030	0.0030	0.0010	0.0010	0.037	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.036	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.075
4001	0.0020	0.0010	0.0010	0.0010	0.038	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.037	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.038	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.075
4001	0.0030	0.0020	0.0010	0.0010	0.039	0.073
4001	0.0030	0.0020	0.0010	0.0010	0.038	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.073
4001	0.0030	0.0020	0.0010	0.0010	0.039	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.041	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.039	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.04	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.04	0.073
4001	0.0030	0.0020	0.0010	0.0010	0.04	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.04	0.073
4001	0.0020	0.0020	0.0010	0.0	0.041	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.04	0.076
4001	0.0020	0.0020	0.0010	0.0	0.042	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.041	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.041	0.073
4001	0.0020	0.0030	0.0010	0.0010	0.041	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.041	0.072
4001	0.0030	0.0020	0.0010	0.0010	0.041	0.076
4001	0.0030	0.0020	0.0010	0.0010	0.042	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.042	0.074
4001	0.0030	0.0020	0.0010	0.0010	0.042	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.042	0.076
4001	0.0020	0.0010	0.0010	0.0010	0.042	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.042	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.042	0.073
4001	0.0020	0.0020	0.0010	0.0	0.043	0.074
4001	0.0020	0.0030	0.0010	0.0010	0.042	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.042	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.044	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.044	0.072
4001	0.0020	0.0020	0.0010	0.0	0.043	0.072
4001	0.0020	0.0020	0.0020	0.0010	0.044	0.076
4001	0.0030	0.0020	0.0010	0.0010	0.043	0.074
4001	0.0030	0.0020	0.0010	0.0010	0.044	0.072
4001	0.0030	0.0030	0.0010	0.0010	0.044	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.054	0.075
4001	0.0030	0.0020	0.0010	0.0010	0.043	0.073
4001	0.0020	0.0030	0.0020	0.0	0.045	0.073
4001	0.0020	0.0020	0.0010	0.0	0.044	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.045	0.072
4001	0.0030	0.0020	0.0010	0.0010	0.046	0.076
4001	0.0020	0.0020	0.0010	0.0	0.045	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.045	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.046	0.073
4001	0.0030	0.0030	0.0010	0.0010	0.046	0.072
4001	0.0020	0.0020	0.0010	0.0010	0.046	0.071
4001	0.0030	0.0030	0.0010	0.0010	0.046	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.046	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.046	0.073
4001	0.0020	0.0010	0.0010	0.0010	0.047	0.073
4001	0.0020	0.0020	0.0010	0.0010	0.048	0.073
4001	0.0030	0.0020	0.0010	0.0010	0.046	0.074
4001	0.0020	0.0010	0.0010	0.0010	0.046	0.074
4001	0.0020	0.0020	0.0010	0.0010	0.047	0.073
4001	0.0020	0.0020	0.0010	0.0	0.047	0.075
4001	0.0020	0.0020	0.0010	0.0010	0.047	0.073
4001	0.0020	0.0020	0.0010	0.0	0.048	0.074
4001	0.0020	0.0010	0.0010	0.0010	0.048	0.074
8003	0.0050	0.0040	0.0020	0.037	0.131	0.277
8003	0.0040	0.0040	0.0020	0.019	0.131	0.284
8003	0.0050	0.0040	0.0020	0.014	0.136	0.296
8003	0.0040	0.0040	0.0020	0.01	0.132	0.292
8003	0.0050	0.0040	0.0030	0.0080	0.132	0.294
8003	0.0040	0.0040	0.0030	0.0070	0.132	0.291
8003	0.0050	0.0040	0.0020	0.0070	0.132	0.291
8003	0.0050	0.0050	0.0020	0.0060	0.133	0.291
8003	0.0050	0.0050	0.0020	0.0050	0.132	0.294
8003	0.0050	0.0050	0.0020	0.0050	0.133	0.29
8003	0.0040	0.0040	0.0020	0.0050	0.133	0.295
8003	0.0050	0.0030	0.0020	0.0040	0.135	0.294
8003	0.0040	0.0040	0.0020	0.0040	0.134	0.297
8003	0.0050	0.0050	0.0040	0.0040	0.133	0.29
8003	0.0040	0.0040	0.0020	0.0030	0.134	0.293
8003	0.0050	0.0050	0.0020	0.0040	0.136	0.295
8003	0.0050	0.0050	0.0020	0.0030	0.135	0.294
8003	0.0040	0.0040	0.0030	0.0040	0.136	0.295
8003	0.0050	0.0040	0.0020	0.0040	0.135	0.293
8003	0.0040	0.0040	0.0030	0.0030	0.137	0.297
8003	0.0050	0.0040	0.0020	0.0030	0.137	0.293
8003	0.0050	0.0050	0.0020	0.0030	0.137	0.296
8003	0.0050	0.0050	0.0030	0.0030	0.139	0.298
8003	0.0040	0.0040	0.0020	0.0030	0.138	0.298
8003	0.0050	0.0050	0.0020	0.0030	0.138	0.297
8003	0.0050	0.018	0.0030	0.0030	0.138	0.298
8003	0.0050	0.0060	0.0030	0.0030	0.139	0.297
8003	0.0040	0.0040	0.0020	0.0030	0.139	0.296
8003	0.0050	0.0050	0.0020	0.0030	0.14	0.3
8003	0.0050	0.0040	0.0020	0.0020	0.139	0.297
8003	0.0040	0.0040	0.0020	0.0030	0.139	0.292
8003	0.0040	0.0040	0.0020	0.0020	0.14	0.294
8003	0.0050	0.0050	0.0030	0.0030	0.141	0.297
8003	0.0040	0.0050	0.0020	0.0020	0.141	0.296
8003	0.0040	0.0040	0.0020	0.0030	0.141	0.294
8003	0.0050	0.0050	0.0020	0.0020	0.142	0.296
8003	0.0050	0.0040	0.0020	0.0020	0.141	0.295
8003	0.0050	0.0040	0.0030	0.0030	0.142	0.297
8003	0.0050	0.0040	0.0020	0.0030	0.142	0.293
8003	0.0050	0.0050	0.0030	0.0030	0.142	0.293
8003	0.0040	0.0050	0.0020	0.0020	0.142	0.291
8003	0.0050	0.0030	0.0020	0.0020	0.143	0.298
8003	0.0040	0.0040	0.0020	0.0030	0.143	0.299
8003	0.0040	0.0040	0.0020	0.0030	0.144	0.291
8003	0.0040	0.0040	0.0020	0.0020	0.145	0.292
8003	0.0050	0.0040	0.0030	0.0020	0.144	0.295
8003	0.0060	0.0050	0.0030	0.0020	0.146	0.298
8003	0.0050	0.0040	0.0020	0.0030	0.146	0.296
8003	0.0050	0.0040	0.0020	0.0020	0.145	0.293
8003	0.0040	0.018	0.0020	0.0020	0.145	0.294
8003	0.0050	0.0050	0.0030	0.0020	0.148	0.297
8003	0.0050	0.0040	0.0020	0.0020	0.147	0.294
8003	0.0050	0.0040	0.0020	0.0030	0.148	0.294
8003	0.0050	0.0050	0.0020	0.0020	0.148	0.296
8003	0.0050	0.0040	0.0020	0.0020	0.146	0.294
8003	0.0040	0.0040	0.0020	0.0020	0.148	0.301
8003	0.0050	0.0040	0.0020	0.0020	0.147	0.299
8003	0.0050	0.0050	0.0020	0.0020	0.148	0.296
8003	0.0050	0.0050	0.0030	0.0020	0.149	0.297
8003	0.0050	0.0040	0.0020	0.0020	0.148	0.293
8003	0.0050	0.0040	0.0030	0.0020	0.148	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.15	0.299
8003	0.0050	0.0040	0.0020	0.0020	0.149	0.294
8003	0.0050	0.0050	0.0030	0.0020	0.15	0.295
8003	0.0040	0.0040	0.0020	0.0020	0.149	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.151	0.293
8003	0.0050	0.0040	0.0030	0.0020	0.151	0.298
8003	0.0050	0.0040	0.0020	0.0030	0.15	0.294
8003	0.0050	0.0050	0.0030	0.0020	0.151	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.153	0.298
8003	0.0050	0.0050	0.0030	0.0020	0.152	0.298
8003	0.0050	0.0040	0.0020	0.0020	0.153	0.295
8003	0.0050	0.0040	0.0020	0.0020	0.152	0.291
8003	0.0050	0.017	0.0020	0.0020	0.152	0.294
8003	0.0050	0.0040	0.0020	0.0030	0.154	0.297
8003	0.0050	0.0050	0.0030	0.0020	0.154	0.294
8003	0.0050	0.0050	0.0020	0.0020	0.154	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.154	0.295
8003	0.0050	0.0040	0.0020	0.0020	0.153	0.289
8003	0.0050	0.0040	0.0020	0.0020	0.156	0.293
8003	0.0050	0.0040	0.0020	0.0020	0.155	0.297
8003	0.0050	0.0040	0.0020	0.0020	0.161	0.3
8003	0.0050	0.0050	0.0020	0.0020	0.157	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.157	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.156	0.293
8003	0.0050	0.0050	0.0030	0.0020	0.157	0.291
8003	0.0050	0.0040	0.0020	0.0020	0.157	0.292
8003	0.0050	0.0050	0.0020	0.0020	0.159	0.295
8003	0.0040	0.0040	0.0020	0.0020	0.157	0.294
8003	0.0050	0.0040	0.0020	0.0020	0.157	0.29
8003	0.0050	0.0040	0.0030	0.0020	0.159	0.298
8003	0.0050	0.0040	0.0020	0.0020	0.159	0.295
8003	0.0040	0.0050	0.0020	0.0020	0.158	0.292
8003	0.0050	0.0040	0.0020	0.0020	0.159	0.295
8003	0.0050	0.0050	0.0020	0.0020	0.161	0.295
8003	0.0050	0.0040	0.0020	0.0020	0.16	0.298
8003	0.0050	0.0040	0.0020	0.0020	0.159	0.295
8003	0.0050	0.021	0.0020	0.0020	0.16	0.295
8003	0.0050	0.0050	0.0030	0.0020	0.162	0.291
8003	0.0050	0.0040	0.0020	0.0020	0.162	0.296
16007	0.01	0.0090	0.0030	0.147	0.522	1.099
16007	0.01	0.0080	0.0050	0.074	0.521	1.147
16007	0.014	0.0080	0.0040	0.051	0.523	1.158
16007	0.0090	0.0080	0.0040	0.038	0.525	1.17
16007	0.01	0.0090	0.0050	0.031	0.524	1.169
16007	0.01	0.0090	0.0050	0.026	0.526	1.183
16007	0.01	0.022	0.0050	0.023	0.524	1.158
16007	0.015	0.0080	0.0040	0.021	0.528	1.173
16007	0.0090	0.0080	0.0040	0.018	0.527	1.18
16007	0.01	0.0090	0.0050	0.017	0.526	1.183
16007	0.01	0.0090	0.0040	0.017	0.526	1.173
16007	0.01	0.0090	0.0050	0.015	0.528	1.176
16007	0.015	0.0080	0.0050	0.014	0.53	1.176
16007	0.01	0.022	0.0040	0.013	0.53	1.168
16007	0.01	0.0090	0.0050	0.012	0.529	1.183
16007	0.01	0.01	0.0040	0.012	0.534	1.183
16007	0.01	0.0090	0.0050	0.012	0.533	1.179
16007	0.015	0.0080	0.0050	0.011	0.533	1.176
16007	0.01	0.0090	0.0050	0.01	0.532	1.172
16007	0.01	0.0090	0.0060	0.01	0.534	1.19
16007	0.0090	0.022	0.0040	0.01	0.534	1.169
16007	0.01	0.0090	0.0050	0.0090	0.536	1.183
16007	0.015	0.0090	0.0050	0.0090	0.535	1.186
16007	0.01	0.01	0.0040	0.0090	0.536	1.188
16007	0.01	0.0090	0.0040	0.0090	0.537	1.187
16007	0.01	0.0090	0.0050	0.0090	0.537	1.181
16007	0.01	0.0090	0.0050	0.0080	0.541	1.18
16007	0.015	0.022	0.0040	0.0080	0.536	1.178
16007	0.01	0.0090	0.0050	0.0080	0.537	1.184
16007	0.01	0.01	0.0040	0.0070	0.54	1.19
16007	0.01	0.0090	0.0050	0.0070	0.541	1.181
16007	0.01	0.0090	0.0050	0.0070	0.54	1.179
16007	0.015	0.0090	0.0050	0.0070	0.54	1.18
16007	0.01	0.01	0.0040	0.0080	0.541	1.183
16007	0.011	0.022	0.0050	0.0070	0.542	1.176
16007	0.01	0.01	0.0050	0.0070	0.544	1.171
16007	0.01	0.0090	0.0050	0.0070	0.542	1.178
16007	0.016	0.0080	0.0050	0.0070	0.545	1.178
16007	0.01	0.01	0.0040	0.0070	0.545	1.185
16007	0.01	0.0090	0.0050	0.0070	0.546	1.178
16007	0.01	0.01	0.0050	0.0060	0.548	1.19
16007	0.01	0.022	0.0050	0.0060	0.545	1.172
16007	0.015	0.0090	0.0050	0.0070	0.548	1.166
16007	0.01	0.0090	0.0040	0.0070	0.549	1.167
16007	0.01	0.0090	0.0050	0.0060	0.549	1.194
16007	0.011	0.0090	0.0050	0.0060	0.55	1.18
16007	0.01	0.0090	0.0050	0.0060	0.55	1.184
16007	0.015	0.0080	0.0040	0.0070	0.55	1.17
16007	0.01	0.022	0.0050	0.0060	0.551	1.185
16007	0.011	0.0090	0.0050	0.0060	0.551	1.189
16007	0.01	0.0090	0.0050	0.0060	0.552	1.187
16007	0.01	0.0090	0.0050	0.0060	0.553	1.184
16007	0.015	0.0090	0.0050	0.0060	0.554	1.17
16007	0.01	0.01	0.0040	0.0050	0.554	1.186
16007	0.01	0.01	0.0040	0.0050	0.558	1.195
16007	0.01	0.022	0.0050	0.0060	0.553	1.177
16007	0.01	0.0090	0.0050	0.0050	0.557	1.172
16007	0.015	0.0090	0.0050	0.0060	0.557	1.179
16007	0.01	0.0090	0.0050	0.0050	0.556	1.178
16007	0.01	0.01	0.0050	0.0050	0.558	1.182
16007	0.01	0.0090	0.0050	0.0060	0.559	1.182
16007	0.01	0.0090	0.0050	0.0050	0.561	1.177
16007	0.015	0.023	0.0040	0.0060	0.558	1.173
16007	0.011	0.01	0.0050	0.0050	0.56	1.169
16007	0.01	0.0090	0.0060	0.0050	0.561	1.19
16007	0.01	0.0090	0.0050	0.0060	0.563	1.185
16007	0.01	0.0090	0.0050	0.0060	0.563	1.182
16007	0.015	0.0090	0.0050	0.0050	0.562	1.178
16007	0.01	0.01	0.0050	0.0050	0.562	1.179
16007	0.011	0.023	0.0050	0.0050	0.562	1.179
16007	0.01	0.0090	0.0050	0.0050	0.565	1.182
16007	0.01	0.0090	0.0050	0.0050	0.566	1.173
16007	0.016	0.0080	0.0040	0.0060	0.564	1.184
16007	0.01	0.0090	0.0050	0.0050	0.572	1.175
16007	0.01	0.0090	0.0050	0.0050	0.566	1.181
16007	0.01	0.0090	0.0040	0.0050	0.57	1.189
16007	0.01	0.022	0.0040	0.0050	0.566	1.167
16007	0.015	0.0090	0.0050	0.0050	0.568	1.185
16007	0.01	0.01	0.0050	0.0050	0.569	1.181
16007	0.01	0.0090	0.0060	0.0050	0.569	1.174
16007	0.01	0.0090	0.0050	0.0050	0.572	1.182
16007	0.01	0.0090	0.0050	0.0050	0.572	1.19
16007	0.015	0.0080	0.0040	0.0050	0.573	1.179
16007	0.01	0.023	0.0050	0.0050	0.569	1.178
16007	0.01	0.01	0.0060	0.0050	0.571	1.174
16007	0.01	0.0090	0.0050	0.0050	0.575	1.174
16007	0.01	0.0090	0.0050	0.0050	0.575	1.178
16007	0.015	0.0090	0.0050	0.0050	0.574	1.171
16007	0.01	0.0090	0.0050	0.0050	0.575	1.179
16007	0.01	0.0090	0.0050	0.0050	0.579	1.189
16007	0.011	0.022	0.0050	0.0050	0.575	1.178
16007	0.011	0.0090	0.0040	0.0050	0.578	1.189
16007	0.016	0.0090	0.0050	0.0050	0.58	1.197
16007	0.01	0.0090	0.0040	0.0040	0.578	1.19
16007	0.01	0.01	0.0050	0.0040	0.578	1.182
16007	0.01	0.0090	0.0050	0.0050	0.58	1.175
16007	0.01	0.01	0.0050	0.0050	0.582	1.186
16007	0.015	0.022	0.0050	0.0050	0.58	1.181
16007	0.011	0.01	0.0050	0.0050	0.583	1.176
16007	0.01	0.0090	0.0050	0.0050	0.583	1.193
32015	0.02	0.018	0.0080	0.585	2.09	4.384
32015	0.02	0.031	0.0090	0.294	2.091	4.564
32015	0.022	0.018	0.01	0.197	2.093	4.611
32015	0.021	0.031	0.0090	0.151	2.093	4.649
32015	0.021	0.018	0.0090	0.122	2.095	4.665
32015	0.022	0.032	0.01	0.101	2.101	4.66
32015	0.022	0.018	0.01	0.087	2.1	4.688
32015	0.021	0.032	0.01	0.077	2.108	4.701
32015	0.021	0.018	0.0090	0.069	2.105	4.716
32015	0.021	0.031	0.01	0.063	2.102	4.707
32015	0.021	0.018	0.01	0.057	2.105	4.691
32015	0.021	0.033	0.01	0.053	2.124	4.69
32015	0.021	0.018	0.0090	0.05	2.108	4.694
32015	0.021	0.033	0.011	0.047	2.11	4.698
32015	0.021	0.018	0.01	0.044	2.107	4.719
32015	0.022	0.032	0.01	0.042	2.11	4.703
32015	0.021	0.019	0.01	0.067	2.111	4.724
32015	0.021	0.032	0.01	0.038	2.115	4.698
32015	0.022	0.018	0.0090	0.036	2.113	4.72
32015	0.021	0.032	0.01	0.039	2.122	4.727
32015	0.023	0.019	0.01	0.033	2.114	4.71
32015	0.021	0.033	0.01	0.032	2.118	4.693
32015	0.022	0.02	0.01	0.036	2.115	4.706
32015	0.022	0.032	0.01	0.03	2.123	4.714
32015	0.021	0.019	0.01	0.029	2.122	4.699
32015	0.021	0.032	0.01	0.028	2.125	4.738
32015	0.021	0.019	0.01	0.034	2.122	4.726
32015	0.021	0.032	0.01	0.027	2.124	4.718
32015	0.021	0.019	0.01	0.026	2.123	4.737
32015	0.022	0.032	0.01	0.025	2.13	4.724
32015	0.022	0.018	0.01	0.025	2.126	4.69
32015	0.022	0.032	0.011	0.024	2.132	4.738
32015	0.022	0.019	0.01	0.024	2.133	4.727
32015	0.022	0.032	0.01	0.023	2.13	4.695
32015	0.022	0.019	0.01	0.022	2.132	4.702
32015	0.021	0.033	0.01	0.033	2.137	4.702
32015	0.021	0.019	0.01	0.021	2.138	4.713
32015	0.021	0.032	0.01	0.021	2.14	4.716
32015	0.022	0.018	0.01	0.021	2.135	4.712
32015	0.022	0.032	0.01	0.02	2.139	4.694
32015	0.021	0.019	0.01	0.02	2.137	4.724
32015	0.022	0.033	0.01	0.019	2.144	4.728
32015	0.021	0.018	0.01	0.02	2.141	4.722
32015	0.021	0.032	0.01	0.019	2.145	4.712
32015	0.022	0.019	0.01	0.019	2.143	4.736
32015	0.022	0.032	0.01	0.019	2.145	4.724
32015	0.021	0.019	0.01	0.018	2.152	4.742
32015	0.022	0.033	0.011	0.018	2.153	4.727
32015	0.022	0.019	0.01	0.018	2.148	4.719
32015	0.021	0.033	0.01	0.018	2.155	4.725
32015	0.021	0.019	0.01	0.017	2.15	4.72
32015	0.021	0.032	0.01	0.018	2.151	4.729
32015	0.022	0.019	0.01	0.017	2.153	4.735
32015	0.022	0.033	0.01	0.017	2.159	4.737
32015	0.022	0.019	0.011	0.017	2.156	4.718
32015	0.021	0.034	0.01	0.016	2.161	4.722
32015	0.021	0.019	0.01	0.016	2.157	4.718
32015	0.022	0.033	0.01	0.017	2.16	4.745
32015	0.021	0.019	0.01	0.016	2.159	4.725
32015	0.021	0.032	0.01	0.016	2.167	4.724
32015	0.022	0.019	0.011	0.015	2.163	4.714
32015	0.021	0.033	0.011	0.015	2.169	4.733
32015	0.022	0.019	0.01	0.016	2.169	4.728
32015	0.022	0.032	0.01	0.015	2.166	4.724
32015	0.021	0.019	0.01	0.015	2.167	4.719
32015	0.021	0.032	0.01	0.015	2.173	4.708
32015	0.022	0.019	0.01	0.015	2.169	4.715
