sid,total,s-subtotal,sQ1,sQ2,sQ3,sQ4,sQ5,Q1-Q5 subtotal,Q1-AVR,Q1-J1,Q1-J2,
22221203,,,90,100,90,90,90,,,80,,80,,100,80,90,,80,,80,,100,90,90,,80,,90,,90,90,90,,80,,90,,90,90,90,,,,80,,90,90,90,,
202C1030,,,90,100,90,90,90,,,80,,80,,90,90,90,,80,,80,,90,90,90,,80,,90,,100,100,90,,80,,80,,90,90,90,,,,80,,80,90,90,,
202C1108,,,90,90,90,100,90,,,80,,90,,100,100,90,,80,,90,,100,100,90,,70,,90,,100,90,90,,80,,80,,80,90,90,,,,80,,90,90,90,,
202C1157,,,90,90,90,100,90,,,80,,80,,90,100,90,,80,,90,,100,90,90,,70,,80,,90,90,90,,80,,80,,90,90,90,,,,90,,90,90,90,,
202C1005,,,90,90,90,80,90,,,100,90,80,,90,80,90,,100,90,80,,90,80,90,,90,90,90,,90,100,90,,90,90,80,,90,90,90,,,,80,,90,90,90,,
202C1080,,,80,80,90,80,,,,100,90,90,,100,90,90,,100,90,90,,100,80,90,,90,90,80,,100,80,90,,100,90,80,,100,90,90,,100,,80,,100,90,90,,
202C1133,,,100,100,80,90,100,,,80,100,90,90,100,90,90,,80,100,90,80,100,90,90,,80,90,90,90,100,80,90,,80,100,90,80,100,80,90,,,,,90,100,80,90,,
202C1155,,,90,90,90,90,90,,,,,80,90,,90,80,,,,90,80,,80,80,,,,80,90,,90,80,,,,90,80,,80,80,,,,,80,,80,80,,
202C2020,,,90,90,90,90,90,,,,,80,80,,90,90,,,,80,80,,80,80,,,,90,90,,80,90,,,,90,80,,90,80,,,,,80,,90,80,,
202C1121,,,90,90,90,90,90,,,,,90,80,,90,90,,,,80,80,,90,90,,,,80,90,,80,90,,,,90,80,,90,90,,,,,80,,90,90,,
202C2112,,,100,100,100,100,90,,,,,100,100,,90,90,,,,90,100,,80,90,,,,90,80,,80,90,,,,90,90,,80,90,,,,,80,,90,90,,
202C1037,,,100,100,90,90,100,,,,,100,90,,90,90,,,,90,90,,90,90,,,,90,80,,80,90,,,,90,90,,80,90,,,,,90,,90,90,,
202C1145,,,100,100,100,90,100,,,,,100,90,,100,100,,,,90,80,,90,90,,,,90,80,,90,100,,,,90,100,,90,90,,,,,90,,100,90,,
202C1141,,,90,100,100,90,100,,,,,100,90,,100,100,,,,90,80,,100,90,,,,90,80,,90,100,,,,90,90,,90,90,,,,,80,,90,90,,
202C1020,,,100,100,90,90,90,,,,,100,90,,90,90,,,,90,80,,90,90,,,,90,80,,80,90,,,,90,90,,100,90,,,,,90,,90,90,,
202C1124,,,100,100,90,90,90,,,,,100,100,,90,90,,,,90,90,,80,90,,,,90,90,,80,90,,,,90,90,,90,90,,,,,90,,90,90,,
192C1042,,,90,90,90,90,90,,,,,80,,80,80,90,,,,90,,80,90,90,,,,90,,90,80,90,,,,80,,80,80,90,,,,,,80,80,90,,
202C1152,,,90,90,100,90,100,,,,,80,,90,100,90,,,,90,,100,90,90,,,,90,,100,90,90,,,,80,,100,80,90,,,,,,90,90,90,,
212C2075,,,80,80,80,80,80,,,,,90,,80,80,90,,,,90,,80,90,90,,,,90,,90,80,90,,,,80,,80,90,90,,,,,,80,80,90,,
202C1006,,,100,90,90,90,100,,,,,90,,90,80,90,,,,90,,90,80,90,,,,90,,90,80,90,,,,80,,90,90,90,,,,,,90,90,90,,
202C1099,,,100,90,90,100,100,,,,,90,,90,80,90,,,,90,,90,80,90,,,,90,,90,80,90,,,,90,,90,90,90,,,,,,90,90,90,,
202C1118,,,100,100,100,100,100,,,,,80,90,,100,90,,,,90,100,,90,90,,,,90,80,,90,90,,,,90,90,,90,90,,,,,90,,90,90,,
202C1134,,,100,100,100,100,90,,,,,90,80,,100,90,,,,90,80,,90,90,,,,90,90,,90,90,,,,90,80,,90,90,,,,,90,,90,90,,
202C1135,,,100,90,90,90,100,,,,,80,80,,90,90,,,,90,90,,90,90,,,,80,80,,80,80,,,,90,90,,90,90,,,,,80,,90,90,,
