date,open,high,low,close,volume,sma 5,sma 12,sma 21,sma 25,sma 33,sma 55,sma 89,sma 144,sma 233,momentum (9),stddev,-3s,-2s,+2s,+3s,RCI
2017-01-13,19174.97,19299.36,19156.93,19287.28,1600200000.0,19287.3,19287.3,19287.3,19287.3,19287.3,19287.3,19287.3,19287.3,19287.3,0.0,0.0,19287.3,19287.3,19287.3,19287.3,1000.0
2017-01-16,19219.13,19255.41,19061.27,19095.24,1469550000.0,19191.3,19191.3,19191.3,19191.3,19191.3,19191.3,19191.3,19191.3,19191.3,-192.03999999999724,135.8,18783.9,18919.7,19462.9,19598.7,993.0
2017-01-17,19038.45,19043.91,18812.86,18813.53,1710560000.0,19065.4,19065.4,19065.4,19065.4,19065.4,19065.4,19065.4,19065.4,19065.4,-473.75,238.3,18350.5,18588.8,19542.0,19780.3,972.0
2017-01-18,18753.96,18941.24,18650.33,18894.37,1818260000.0,19022.6,19022.6,19022.6,19022.6,19022.6,19022.6,19022.6,19022.6,19022.6,-392.90999999999985,212.5,18385.1,18597.6,19447.6,19660.1,937.0
2017-01-19,19082.83,19122.39,18982.13,19072.25,2254440000.0,19032.5,19032.5,19032.5,19032.5,19032.5,19032.5,19032.5,19032.5,19032.5,-215.02999999999884,185.4,18476.4,18661.7,19403.3,19588.6,888.0
2017-01-20,19059.15,19176.86,19040.2,19137.91,1791400000.0,19002.7,19050.1,19050.1,19050.1,19050.1,19050.1,19050.1,19050.1,19050.1,-149.36999999999898,171.3,18536.2,18707.5,19392.7,19564.0,853.0
2017-01-23,18938.45,19024.21,18879.68,18891.03,1777700000.0,18961.8,19027.4,19027.4,19027.4,19027.4,19027.4,19027.4,19027.4,19027.4,-396.25,167.5,18524.8,18692.3,19362.5,19530.0,734.0
2017-01-24,18817.42,18915.7,18783.16,18787.99,1866880000.0,18956.7,18997.4,18997.4,18997.4,18997.4,18997.4,18997.4,18997.4,18997.4,-499.28999999999724,176.7,18467.3,18644.0,19350.8,19527.5,538.0
2017-01-25,19091.23,19133.18,18987.45,19057.5,1934340000.0,18989.3,19004.1,19004.1,19004.1,19004.1,19004.1,19004.1,19004.1,19004.1,-229.77999999999884,166.5,18504.6,18671.1,19337.1,19503.6,385.0
2017-01-26,19260.67,19405.23,19232.46,19402.39,2300000000.0,19055.4,19043.9,19043.9,19043.9,19043.9,19043.9,19043.9,19043.9,19043.9,115.11000000000058,201.2,18440.2,18641.4,19446.4,19647.6,385.0
2017-01-27,19453.51,19486.68,19404.13,19467.4,1947160000.0,19121.3,19082.4,19082.4,19082.4,19082.4,19082.4,19082.4,19082.4,19082.4,372.15999999999985,229.7,18393.4,18623.0,19541.8,19771.4,385.0
2017-01-30,19371.28,19390.97,19295.8,19368.85,1532740000.0,19216.8,19106.3,19106.3,19106.3,19106.3,19106.3,19106.3,19106.3,19106.3,555.3199999999997,234.1,18404.1,18638.2,19574.4,19808.5,364.0
2017-01-31,19145.35,19199.75,19041.34,19041.34,1997460000.0,19267.5,19085.8,19101.3,19101.3,19101.3,19101.3,19101.3,19101.3,19101.3,146.97000000000116,224.8,18426.8,18651.6,19551.0,19775.8,364.0
2017-02-01,18926.97,19155.79,18916.18,19148.08,2032170000.0,19285.6,19090.2,19104.7,19104.7,19104.7,19104.7,19104.7,19104.7,19104.7,75.83000000000175,216.4,18455.6,18672.0,19537.4,19753.8,545.0
2017-02-02,19152.79,19170.63,18866.8,18914.58,2128180000.0,19188.0,19098.6,19092.0,19092.0,19092.0,19092.0,19092.0,19092.0,19092.0,-223.3299999999981,214.2,18449.4,18663.6,19520.4,19734.6,301.0
2017-02-03,18996.74,19061.26,18830.89,18918.2,2116970000.0,19078.2,19100.6,19081.1,19081.1,19081.1,19081.1,19081.1,19081.1,19081.1,27.17000000000189,211.4,18446.8,18658.2,19504.0,19715.4,14.0
2017-02-06,19069.72,19075.57,18899.4,18976.71,1797660000.0,18999.8,19092.7,19075.0,19075.0,19075.0,19075.0,19075.0,19075.0,19075.0,188.71999999999753,206.3,18456.1,18662.4,19487.6,19693.9,-28.0
2017-02-07,18844.12,18970.58,18805.32,18910.78,1694480000.0,18973.7,19073.7,19065.9,19065.9,19065.9,19065.9,19065.9,19065.9,19065.9,-146.72000000000116,203.8,18454.4,18658.2,19473.6,19677.4,-42.0
2017-02-08,18951.16,19009.24,18875.57,19007.6,1641710000.0,18945.6,19083.5,19062.8,19062.8,19062.8,19062.8,19062.8,19062.8,19062.8,-394.7900000000009,198.6,18467.1,18665.7,19459.9,19658.5,-350.0
2017-02-09,18942.04,18991.23,18874.91,18907.67,1933510000.0,18944.2,19093.4,19055.0,19055.0,19055.0,19055.0,19055.0,19055.0,19055.0,-559.7300000000032,196.3,18466.0,18662.3,19447.7,19644.0,-811.0
2017-02-10,19216.74,19395.99,19193.57,19378.93,2242750000.0,19036.3,19120.2,19070.5,19070.5,19070.5,19070.5,19070.5,19070.5,19070.5,10.080000000001746,204.0,18458.5,18662.5,19478.5,19682.5,-573.0
2017-02-13,19513.78,19519.44,19418.18,19459.15,1880560000.0,19132.8,19124.9,19078.6,19088.1,19088.1,19088.1,19088.1,19088.1,19088.1,417.8100000000013,216.2,18429.9,18646.2,19511.0,19727.3,-196.0
2017-02-14,19478.86,19501.01,19232.85,19238.98,2104660000.0,19198.5,19105.9,19085.5,19094.7,19094.7,19094.7,19094.7,19094.7,19094.7,90.89999999999782,219.0,18428.4,18647.4,19523.6,19742.6,168.0
2017-02-15,19438.81,19495.62,19420.0,19437.98,2104590000.0,19284.5,19111.7,19115.2,19109.0,19109.0,19109.0,19109.0,19109.0,19109.0,523.3999999999978,222.6,18447.3,18670.0,19560.4,19783.1,483.0
2017-02-16,19431.61,19431.61,19260.24,19347.53,2027940000.0,19372.5,19137.2,19136.8,19118.5,19118.5,19118.5,19118.5,19118.5,19118.5,429.3299999999981,222.1,18470.5,18692.6,19581.0,19803.1,615.0
2017-02-17,19228.74,19275.39,19173.53,19234.62,2029290000.0,19343.7,19144.4,19144.5,19116.4,19123.0,19123.0,19123.0,19123.0,19123.0,257.90999999999985,222.6,18476.8,18699.4,19589.6,19812.2,657.0
2017-02-20,19161.33,19274.75,19115.11,19251.08,1497390000.0,19302.0,19172.4,19149.9,19122.7,19127.7,19127.7,19127.7,19127.7,19127.7,340.3000000000029,223.8,18478.6,18702.4,19597.4,19821.2,601.0
2017-02-21,19267.87,19395.35,19261.98,19381.44,1528430000.0,19330.5,19211.0,19173.3,19145.4,19136.8,19136.8,19136.8,19136.8,19136.8,373.84000000000015,221.0,18510.4,18731.4,19615.2,19836.2,573.0
2017-02-22,19419.22,19419.22,19329.28,19379.87,2174800000.0,19318.9,19244.6,19201.5,19164.8,19145.2,19145.2,19145.2,19145.2,19145.2,472.2000000000007,206.7,18581.5,18788.2,19614.8,19821.5,510.0
2017-02-23,19379.92,19379.92,19262.63,19371.46,1961060000.0,19323.7,19283.0,19216.4,19176.8,19152.7,19152.7,19152.7,19152.7,19152.7,-7.470000000001164,207.1,18595.2,18802.2,19630.6,19837.6,343.0
2017-02-24,19232.11,19381.1,19219.58,19283.54,2112830000.0,19333.5,19306.0,19210.8,19182.6,19156.9,19156.9,19156.9,19156.9,19156.9,-175.61000000000058,203.3,18600.8,18804.1,19617.5,19820.8,84.0
