0,1w2a,20180105,2036
67,6292,東証2部,(株)カワタ,1370,10.31 %,128,426600,掲示板
68,1997,東証JQS,暁飯島工業(株),1598,10.21 %,148,25300,掲示板
69,6254,東証JQS,野村マイクロ・サイエンス(株),1329,10.11 %,122,273800,掲示板
70,4588,マザーズ,オンコリスバイオファーマ(株),859,9.99 %,78,1078300,掲示板
71,3939,マザーズ,(株)カナミックネットワーク,3665,9.90 %,330,120200,掲示板
72,3794,東証2部,エヌ・デーソフトウェア(株),1379,9.88 %,124,82700,掲示板
73,7813,マザーズ,(株)プラッツ,3505,9.87 %,315,12500,掲示板
74,6954,東証1部,ファナック(株),29680,9.68 %,2620,2913800,掲示板
75,5955,東証2部,(株)ヤマシナ,91,9.64 %,8,9175100,掲示板
76,5757,東証2部,(株)ＣＫサンエツ,3930,9.62 %,345,30500,掲示板
77,4833,東証JQG,(株)ぱど,664,9.57 %,58,240200,掲示板
78,9888,東証JQS,(株)ＵＥＸ,1023,9.53 %,89,891000,掲示板
79,2743,東証JQS,ピクセルカンパニーズ(株),414,9.52 %,36,2443500,掲示板
80,6031,マザーズ,サイジニア(株),1807,9.38 %,155,49700,掲示板
81,5727,東証1部,東邦チタニウム(株),1310,9.35 %,112,2813700,掲示板
82,7199,東証2部,プレミアグループ(株),2831,9.35 %,242,1822200,掲示板
83,6200,東証1部,(株)インソース,3920,9.34 %,335,165300,掲示板
84,5279,東証JQS,日本興業(株),1030,9.34 %,88,34100,掲示板
85,6728,東証1部,(株)アルバック,7760,9.30 %,660,1540400,掲示板
86,3623,マザーズ,ビリングシステム(株),6900,9.18 %,580,331000,掲示板
87,7419,東証1部,(株)ノジマ,2941,9.17 %,247,648600,掲示板
88,5301,東証1部,東海カーボン(株),1522,9.10 %,127,10819700,掲示板
89,8385,東証1部,(株)伊予銀行,984,8.97 %,81,2361900,掲示板
90,6550,マザーズ,Ｆｒｉｎｇｅ８１(株),4115,8.86 %,335,68300,掲示板
91,6895,東証2部,ダイヤモンド電機(株),6540,8.82 %,530,30200,掲示板
92,6544,マザーズ,ジャパンエレベーターサービスホールディングス(株),2283,8.82 %,185,617700,掲示板
93,3316,東証JQS,東京日産コンピュータシステム(株),4325,8.81 %,350,22000,掲示板
94,2323,東証JQS,(株)ｆｏｎｆｕｎ,550,8.70 %,44,1353800,掲示板
95,6677,東証JQS,(株)エスケーエレクトロニクス,2158,8.61 %,171,361600,掲示板
96,8093,東証1部,極東貿易(株),544,8.58 %,43,1119000,掲示板
97,9708,東証2部,(株)帝国ホテル,2377,8.54 %,187,106000,掲示板
98,1572,東証ETF,中国H株ブル2倍上場投信,15820,8.43 %,1230,8300,掲示板
99,3768,東証2部,リスクモンスター(株),1483,8.41 %,115,151500,掲示板
100,1570,東証ETF,(NEXT FUNDS)日経平均レバレッジ上場投信,22570,8.41 %,1750,17894297,掲示板
101,1458,東証ETF,楽天 ETF-日経レバレッジ指数連動型,12790,8.39 %,990,491237,掲示板
102,1579,東証ETF,日経平均ブル2倍上場投信,23700,8.37 %,1830,884320,掲示板
103,1365,東証ETF,ダイワ 上場投信-日経平均レバレッジ,17230,8.36 %,1330,241807,掲示板
