0,1d2a,20180201,1840,,,,
1,2345,東証2部,アイスタディ(株),2000,25.00,400,15000
2,3224,マザーズ,(株)ゼネラル・オイスター,1566,23.70,300,31000
3,3791,東証JQS,(株)ＩＧポート,2855,21.23,500,34100
4,9929,東証2部,平和紙業(株),858,21.19,150,588800
5,4771,東証JQS,(株)エフアンドエム,1381,20.93,239,111400
6,3929,マザーズ,ソーシャルワイヤー(株),1735,20.91,300,562400
7,6467,東証JQS,(株)ニチダイ,1737,20.88,300,2927700
8,4556,東証JQS,(株)カイノス,877,20.63,150,544000
9,6629,東証JQS,テクノホライゾン・ホールディングス(株),889,20.30,150,1531000
10,5727,東証1部,東邦チタニウム(株),1847,19.62,303,4407700
11,3042,東証JQG,(株)セキュアヴェイル,928,19.28,150,1056500
12,4664,東証JQS,ＲＳＣ,1000,17.65,150,30800
13,3953,東証JQS,大村紙業(株),3365,17.45,500,203000
14,3433,東証1部,トーカロ(株),6420,17.15,940,515400
15,1956,東証1部,ＮＤＳ(株),4795,16.38,675,84400
16,5807,東証1部,東京特殊電線(株),3640,15.92,500,144100
17,6292,東証2部,(株)カワタ,2126,15.29,282,1187100
18,5352,東証1部,黒崎播磨(株),5330,15.24,705,238000
19,3672,東証1部,(株)オルトプラス,1140,15.15,150,1592200
20,7296,東証1部,(株)エフ・シー・シー,3355,14.90,435,535200
21,4461,東証1部,第一工業製薬(株),1022,14.83,132,1608000
22,7575,東証1部,日本ライフライン(株),3200,14.45,404,4821300
23,4216,東証1部,旭有機材(株),2321,14.00,285,232800
24,7826,東証JQS,(株)フルヤ金属,6430,13.81,780,362800
25,4923,東証1部,コタ(株),2052,13.75,248,235400
26,6553,マザーズ,ソウルドアウト(株),3590,13.07,415,372600
27,8739,東証JQS,スパークス・グループ(株),397,12.78,45,12785500
28,2491,東証1部,バリューコマース(株),1094,12.55,122,2868900
29,7419,東証1部,(株)ノジマ,2954,12.53,329,522700
30,3799,東証2部,キーウェアソリューションズ(株),777,12.45,86,619900
31,7600,東証1部,(株)日本エム・ディ・エム,1024,12.40,113,907800
32,3773,マザーズ,(株)アドバンスト・メディア,2044,12.31,224,1483000
33,4901,東証1部,富士フイルムホールディングス(株),4698,12.12,508,8665900
34,6355,東証1部,住友精密工業(株),458,11.98,49,544000
35,3558,マザーズ,(株)ロコンド,3130,11.75,329,1136600
36,6737,東証1部,ＥＩＺＯ(株),5720,11.50,590,426200
37,7862,東証1部,トッパン・フォームズ(株),1370,11.47,141,496400
38,5010,東証2部,日本精蝋(株),455,11.25,46,1379400
39,5726,東証1部,(株)大阪チタニウムテクノロジーズ,3145,10.70,304,1385100
40,4644,東証JQS,イマジニア(株),1182,10.67,114,513700
41,3542,マザーズ,(株)ベガコーポレーション,1472,10.59,141,117200
42,7297,東証JQS,(株)カーメイト,1612,10.41,152,158600
43,6158,東証JQS,(株)和井田製作所,1306,10.40,123,249800
44,1992,東証JQS,神田通信機(株),2820,10.33,264,5900
45,7508,東証1部,(株)Ｇ−７ホールディングス,2705,9.96,245,49700
46,3359,マザーズ,(株)タイセイ,1676,9.90,151,137100
47,4594,マザーズ,ブライトパス・バイオ(株),890,9.61,78,5663600
48,3092,東証1部,(株)スタートトゥデイ,3510,9.52,305,6516200
49,3356,東証JQS,(株)テリロジー,416,9.47,36,11272700
50,9739,東証1部,ＮＳＷ,2816,9.10,235,191400
51,3666,東証1部,(株)テクノスジャパン,1008,9.09,84,700600
52,3655,東証1部,(株)ブレインパッド,2200,9.07,183,2916600
53,4318,東証1部,(株)クイック,1840,9.00,152,312600
54,5697,東証2部,(株)サンユウ,920,9.00,76,167800
55,5351,東証1部,品川リフラクトリーズ(株),3600,8.93,295,35800
56,9715,東証1部,トランスコスモス(株),3155,8.79,255,335900
57,1967,東証1部,(株)ヤマト,925,8.70,74,214600
58,4310,東証1部,(株)ドリームインキュベータ,2630,8.50,206,166700
59,6086,マザーズ,シンメンテホールディングス(株),2196,8.39,170,63700
60,6809,東証1部,ＴＯＡ(株),1499,8.39,116,200500
61,6027,マザーズ,弁護士ドットコム(株),1843,8.35,142,566000
62,9744,東証1部,(株)メイテック,6490,8.35,500,278900
63,4695,東証2部,(株)マイスターエンジニアリング,976,8.32,75,114400
64,3787,東証2部,(株)テクノマセマティカル,1665,8.26,127,50200
65,3034,東証1部,クオール(株),2343,8.22,178,467100
66,5955,東証2部,(株)ヤマシナ,158,8.22,12,23643700
67,4726,東証1部,ソフトバンク・テクノロジー(株),2279,8.16,172,897300
68,3192,東証JQS,(株)白鳩,850,8.14,64,363000
69,3844,東証1部,コムチュア(株),3855,8.13,290,366800
70,7205,東証1部,日野自動車(株),1559,8.04,116,5155900
71,9997,東証1部,(株)ベルーナ,1448,7.98,107,676400
72,3664,マザーズ,(株)モブキャスト,849,7.88,62,1138500
73,3906,マザーズ,(株)ＡＬＢＥＲＴ,1410,7.88,103,107100
74,3098,東証1部,(株)ココカラファイン,7030,7.82,510,251200
75,6882,東証2部,(株)三社電機製作所,1811,7.80,131,1203000
76,5440,東証1部,共英製鋼(株),2145,7.79,155,385800
77,6565,東証JQS,ＡＢホテル(株),5550,7.77,400,243000
78,9090,東証1部,(株)丸和運輸機関,4310,7.75,310,378800
79,5491,東証1部,日本金属(株),3205,7.73,230,299700
80,4205,東証1部,日本ゼオン(株),1767,7.68,126,3100000
81,6498,東証1部,(株)キッツ,1011,7.67,72,932100
82,8416,東証1部,(株)高知銀行,1477,7.50,103,50500
83,8052,東証1部,椿本興業(株),3455,7.47,240,57600
84,9658,東証1部,(株)ビジネスブレイン太田昭和,1891,7.44,131,78500
85,8364,東証1部,(株)清水銀行,3485,7.40,240,16100
86,3566,マザーズ,ユニフォームネクスト(株),4955,7.37,340,12800
87,6135,東証1部,(株)牧野フライス製作所,1316,7.25,89,3406000
88,7184,東証1部,(株)富山第一銀行,547,7.25,37,125400
89,9262,マザーズ,(株)シルバーライフ,6210,7.25,420,33300
90,3580,東証1部,小松精練(株),966,7.21,65,261100
91,3021,東証2部,(株)パシフィックネット,671,7.19,45,92600
92,8325,東証1部,(株)北越銀行,2686,7.18,180,51300
93,2488,東証JQS,日本サード・パーティ(株),1200,7.14,80,531600
94,8544,東証1部,(株)京葉銀行,559,7.09,37,968000
95,4287,東証JQS,(株)ジャストプランニング,1163,6.99,76,996500
96,8920,東証1部,(株)東祥,3925,6.95,255,131300
97,1853,東証2部,(株)森組,773,6.92,50,2155400
98,7638,東証JQS,(株)ＮＥＷ　ＡＲＴ,31,6.90,2,13864400
99,8338,東証1部,(株)筑波銀行,434,6.90,28,488700
100,1439,東証JQS,(株)安江工務店,1522,6.88,98,29700
101,5985,東証1部,サンコール(株),808,6.88,52,249500
102,8550,東証1部,(株)栃木銀行,484,6.84,31,537600
103,1931,東証2部,日本電通(株),3995,6.82,255,2200
104,6293,東証1部,日精樹脂工業(株),1957,6.82,125,289700
105,9687,東証JQS,(株)ＫＳＫ,1896,6.82,121,17800
106,4571,マザーズ,ナノキャリア(株),1100,6.80,70,1970500
107,6101,東証1部,(株)ツガミ,1730,6.79,110,1555000
108,8324,東証1部,(株)第四銀行,5510,6.78,350,98400
109,8365,東証1部,(株)富山銀行,4350,6.75,275,9700
110,6407,東証1部,ＣＫＤ(株),3150,6.74,199,1434100
111,8283,東証1部,(株)ＰＡＬＴＡＣ,5150,6.74,325,272100
112,9882,東証1部,(株)イエローハット,3510,6.69,220,92800
113,3557,マザーズ,ユナイテッド＆コレクティブ(株),6720,6.67,420,43800
114,4875,東証JQS,メディシノバ,1040,6.67,65,787700
115,7990,東証1部,グローブライド(株),2756,6.66,172,46100
116,9086,東証1部,(株)日立物流,3015,6.65,188,997800
117,4298,東証JQS,(株)プロトコーポレーション,1754,6.63,109,67700
118,7701,東証1部,(株)島津製作所,2933,6.62,182,3134600
119,8524,東証1部,(株)北洋銀行,404,6.60,25,2217200
120,9734,東証JQS,(株)精養軒,1217,6.57,75,9300
121,7315,東証2部,ＩＪＴテクノロジーホールディングス(株),1127,6.52,69,207100
122,9065,東証1部,山九(株),5400,6.51,330,477100
123,4240,東証JQG,クラスターテクノロジー(株),954,6.47,58,113900
124,5975,東証1部,東プレ(株),3540,6.47,215,303700
125,7774,東証JQG,(株)ジャパン・ティッシュ・エンジニアリング,1449,6.47,88,324400
126,7577,東証JQS,(株)パスポート,759,6.45,46,121100
127,6556,マザーズ,ウェルビー(株),3725,6.43,225,56900
128,9888,東証JQS,(株)ＵＥＸ,1094,6.42,66,322500
129,7624,東証JQS,(株)ＮａＩＴＯ,415,6.41,25,565200
130,7476,東証1部,アズワン(株),7490,6.39,450,58700
131,8369,東証1部,(株)京都銀行,6500,6.38,390,587200
132,4659,東証JQS,(株)エイジス,3270,6.34,195,65300
133,9418,東証1部,(株)ＵＳＥＮ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,1215,6.30,72,300000
134,3199,東証1部,綿半ホールディングス(株),4760,6.25,280,84700
135,5453,東証1部,東洋鋼鈑(株),595,6.25,35,2109900
136,3457,東証1部,(株)ハウスドゥ,3025,6.21,177,139600
137,6644,東証1部,大崎電気工業(株),855,6.21,50,859000
138,8075,東証1部,神鋼商事(株),4195,6.20,245,110700
139,4347,東証JQS,ブロードメディア(株),86,6.17,5,8819000
140,7970,東証1部,信越ポリマー(株),1395,6.16,81,406300
141,3760,東証JQS,(株)ケイブ,2180,6.13,126,127800
142,9600,東証1部,(株)アイネット,1770,6.12,102,26000
143,3341,東証1部,日本調剤(株),3650,6.10,210,446600
144,8118,東証1部,(株)キング,666,6.05,38,58400
145,1576,東証ETF,南方 FTSE 中国A株 50 ETF,740,6.02,42,5700
146,3409,東証2部,北日本紡績(株),1060,6.00,60,26500
147,8343,東証1部,(株)秋田銀行,3270,6.00,185,54200
148,2160,マザーズ,(株)ジーエヌアイグループ,761,5.99,43,8607000
149,4833,東証JQG,(株)ぱど,889,5.96,50,89000
150,3464,東証2部,プロパティエージェント(株),2155,5.95,121,30700
151,5464,東証1部,モリ工業(株),4450,5.95,250,48900
152,3486,マザーズ,(株)グローバル・リンク・マネジメント,10700,5.94,600,141000
153,4976,東証JQS,東洋ドライルーブ(株),5730,5.91,320,5100
154,3647,東証2部,(株)ジー・スリーホールディングス,126,5.88,7,1860200
155,4317,東証JQS,(株)レイ,864,5.88,48,683400
156,6561,マザーズ,(株)ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,3030,5.87,168,833900
157,6826,東証1部,本多通信工業(株),1375,5.85,76,254300
158,3919,東証1部,パイプドＨＤ(株),1377,5.84,76,97500
159,4635,東証2部,東京インキ(株),4530,5.84,250,24900
160,6058,東証1部,(株)ベクトル,2304,5.83,127,620800
161,3823,東証2部,(株)アクロディア,384,5.79,21,807600
162,6328,東証1部,荏原実業(株),2015,5.77,110,51500
163,8363,東証1部,(株)北國銀行,4865,5.76,265,82800
164,3089,東証JQS,テクノアルファ(株),1180,5.73,64,29600
165,2398,東証1部,(株)ツクイ,909,5.70,49,905300
166,5002,東証1部,昭和シェル石油(株),1635,5.69,88,2119500
167,2453,東証1部,ジャパンベストレスキューシステム(株),969,5.67,52,931000
168,2733,東証1部,(株)あらた,5970,5.66,320,55500
169,8362,東証1部,(株)福井銀行,2800,5.66,150,58200
170,1942,東証1部,(株)関電工,1271,5.65,68,2010500
171,8132,東証1部,シナネンホールディングス(株),2747,5.65,147,24200
172,8551,東証1部,(株)北日本銀行,3275,5.65,175,13800
173,4970,東証JQS,東洋合成工業(株),2068,5.62,110,69600
174,6555,マザーズ,(株)ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,1336,5.61,71,298600
175,3733,東証JQS,(株)ソフトウェア・サービス,8680,5.60,460,21600
176,8600,東証1部,トモニホールディングス(株),568,5.58,30,620800
177,2175,東証1部,(株)エス・エム・エス,4080,5.56,215,527900
178,7189,東証1部,(株)西日本フィナンシャルホールディングス,1506,5.54,79,718000
179,6747,東証2部,ＫＩホールディングス(株),594,5.51,31,565000
180,6364,東証1部,北越工業(株),1266,5.50,66,68300
181,6409,東証1部,(株)キトー,1941,5.49,101,182700
182,1976,東証1部,明星工業(株),829,5.47,43,132700
183,7537,東証1部,丸文(株),1221,5.44,63,474100
184,8395,東証1部,(株)佐賀銀行,2675,5.44,138,38100
185,7483,東証1部,(株)ドウシシャ,2703,5.42,139,255800
186,5702,東証1部,(株)大紀アルミニウム工業所,938,5.39,48,1715400
187,8345,東証1部,(株)岩手銀行,4690,5.39,240,44500
188,3750,東証2部,セブンシーズホールディングス(株),510,5.37,26,43700
189,8806,東証1部,ダイビル(株),1452,5.37,74,307100
190,6908,東証1部,イリソ電子工業(株),7270,5.36,370,150000
191,7637,東証1部,白銅(株),2665,5.34,135,23200
192,8388,東証1部,(株)阿波銀行,730,5.34,37,497000
193,7173,東証1部,(株)東京ＴＹフィナンシャルグループ,3160,5.33,160,87000
194,9413,東証1部,(株)テレビ東京ホールディングス,2616,5.31,132,141200
195,9417,東証JQS,(株)スマートバリュー,1668,5.30,84,52900
196,2157,東証1部,(株)コシダカホールディングス,6370,5.29,320,111300
197,2327,東証1部,新日鉄住金ソリューションズ(株),3085,5.29,155,516900
198,6384,東証JQS,(株)昭和真空,2666,5.29,134,118400
199,7647,東証2部,(株)音通,40,5.26,2,7838300
200,9647,東証JQS,(株)協和コンサルタンツ,2300,5.26,115,4500
201,3836,東証2部,(株)アバント,963,5.25,48,44900
202,8393,東証1部,(株)宮崎銀行,3710,5.25,185,39700
