0,1d2a,20180202,1840,,,,
95,9358,東証1部,(株)宇徳,530,4.33,22,76900
96,3034,東証1部,クオール(株),2444,4.31,101,383000
97,2877,東証JQS,日東ベスト(株),1067,4.20,43,5800
98,2354,東証2部,安川情報システム(株),650,4.17,26,172900
99,6182,マザーズ,(株)ロゼッタ,1797,4.17,72,285900
100,1959,東証1部,(株)九電工,5320,4.11,210,429800
101,4368,東証1部,扶桑化学工業(株),3190,4.08,125,260500
102,6175,東証JQS,(株)ネットマーケティング,2217,4.08,87,124900
103,3756,東証1部,(株)豆蔵ホールディングス,1406,4.07,55,408500
104,7575,東証1部,日本ライフライン(株),3330,4.06,130,3436700
105,8031,東証1部,三井物産(株),2031,4.05,79,19020100
106,3844,東証1部,コムチュア(株),4010,4.02,155,268900
107,2681,東証1部,(株)ゲオホールディングス,2386,3.92,90,340500
108,8005,東証1部,(株)スクロール,452,3.91,17,789800
109,6745,東証1部,ホーチキ(株),2284,3.87,85,76600
110,1584,東証ETF,KODEXサムスングループ株上場指数投資信託,808,3.86,30,30
111,3777,東証JQG,(株)ジオネクスト,54,3.85,2,809200
112,4709,東証1部,(株)インフォメーション・ディベロプメント,1491,3.83,55,74800
113,1400,東証JQG,ルーデン・ホールディングス(株),546,3.80,20,248000
114,1853,東証2部,(株)森組,802,3.75,29,1791900
115,3929,マザーズ,ソーシャルワイヤー(株),1800,3.75,65,271500
116,4298,東証JQS,(株)プロトコーポレーション,1819,3.71,65,75100
117,7863,東証JQS,(株)平賀,534,3.69,19,118800
118,7873,東証1部,(株)アーク,141,3.68,5,2393200
119,4847,東証JQS,(株)インテリジェント　ウェイブ,657,3.63,23,671800
120,9551,東証1部,メタウォーター(株),3170,3.59,110,151500
121,9325,マザーズ,(株)ファイズ,3180,3.58,110,129700
122,9519,マザーズ,(株)レノバ,1629,3.56,56,256900
123,3580,東証1部,小松精練(株),1000,3.52,34,421100
124,8283,東証1部,(株)ＰＡＬＴＡＣ,5330,3.50,180,127300
125,6237,東証2部,(株)イワキ,4030,3.47,135,25300
126,6467,東証JQS,(株)ニチダイ,1797,3.45,60,4937900
127,9072,東証1部,ニッコンホールディングス(株),3155,3.44,105,181000
128,9438,東証1部,(株)エムティーアイ,694,3.43,23,184100
129,3341,東証1部,日本調剤(株),3775,3.42,125,265900
130,9037,東証1部,(株)ハマキョウレックス,4085,3.42,135,147700
131,4549,東証1部,栄研化学(株),5190,3.39,170,137900
132,8237,東証1部,(株)松屋,1662,3.36,54,296200
133,8252,東証1部,(株)丸井グループ,2089,3.36,68,2298700
134,9312,東証1部,ケイヒン(株),1815,3.36,59,116900
135,2612,東証1部,かどや製油(株),7460,3.32,240,17100
136,3810,東証2部,サイバーステップ(株),4070,3.30,130,547500
137,5984,東証2部,兼房(株),1099,3.29,35,40700
138,6550,マザーズ,Ｆｒｉｎｇｅ８１(株),4400,3.29,140,30000
139,9882,東証1部,(株)イエローハット,3625,3.28,115,94700
140,6629,東証JQS,テクノホライゾン・ホールディングス(株),918,3.26,29,8884100
141,9959,東証2部,アシードホールディングス(株),950,3.26,30,12200
142,3685,マザーズ,(株)みんなのウェディング,828,3.24,26,28800
143,9728,東証1部,日本管財(株),2112,3.23,66,91400
144,3799,東証2部,キーウェアソリューションズ(株),802,3.22,25,205100
145,6459,東証1部,大和冷機工業(株),1377,3.22,43,94300
146,8931,東証JQS,和田興産(株),1026,3.22,32,238100
147,4745,東証1部,(株)東京個別指導学院,1202,3.18,37,348000
148,6942,東証JQS,(株)ソフィアホールディングス,1928,3.16,59,7500
149,3557,マザーズ,ユナイテッド＆コレクティブ(株),6930,3.13,210,12100
150,3657,東証1部,ポールトゥウィン・ピットクルーホールディングス(株),2389,3.11,72,118400
151,6149,東証JQS,(株)小田原エンジニアリング,4325,3.10,130,115000
152,7259,東証1部,アイシン精機(株),6680,3.09,200,1438900
153,2038,東証ETF,NEXT NOTES 日経・TOCOM 原油 ダブル・ブル ETN,1508,3.08,45,634876
154,2782,東証JQS,(株)セリア,6350,3.08,190,340800
155,4922,東証1部,(株)コーセー,19540,3.06,580,310300
156,6144,東証2部,西部電機(株),1290,3.04,38,7400
157,7600,東証1部,(株)日本エム・ディ・エム,1055,3.03,31,346500
158,7915,東証1部,ＮＩＳＳＨＡ(株),2971,2.98,86,970800
159,4685,東証JQS,(株)菱友システムズ,5900,2.97,170,800
160,3926,東証1部,(株)オープンドア,2900,2.95,83,144300
161,4667,東証JQS,アイサンテクノロジー(株),3660,2.95,105,99000
162,6058,東証1部,(株)ベクトル,2371,2.91,67,909400
163,6086,マザーズ,シンメンテホールディングス(株),2260,2.91,64,35400
164,7855,東証JQG,カーディナル(株),891,2.89,25,48600
165,1323,東証ETF,(NEXT FUNDS)南アフリカ株式指数上場投信,428,2.88,12,5000
166,5010,東証2部,日本精蝋(株),468,2.86,13,293300
167,5453,東証1部,東洋鋼鈑(株),612,2.86,17,2035200
168,2491,東証1部,バリューコマース(株),1125,2.83,31,1130000
169,6651,東証1部,日東工業(株),1743,2.83,48,238800
