Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
2667,イメージ　ワン　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0073,46300,2018-08-06 00:00:00,0.008199999999999999
2667,イメージ　ワン　普通株式,UBS AG,2018-08-08,0.0056,35600,2018-08-07 00:00:00,0.0057
2667,イメージ　ワン　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0129,81300,2018-08-07 00:00:00,0.011899999999999999
2681,ゲオホールディングス　普通株式,Nomura International plc,2018-08-08,0.0152,736200,2018-07-26 00:00:00,0.0144
2681,ゲオホールディングス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.005600000000000001,274354,2018-08-08 00:00:00,0.006500000000000001
2693,ＹＫＴ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0049,59000,2018-08-06 00:00:00,0.0055000000000000005
2730,エディオン　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0294,3296022,2018-08-03 00:00:00,0.027999999999999997
2730,エディオン　普通株式,Nomura International plc,2018-08-08,0.0062,703846,2018-07-12 00:00:00,0.005
2743,ピクセルカンパニーズ　普通株式,Nomura International plc,2018-08-08,0.0039000000000000003,74700,2018-08-07 00:00:00,0.0052
2884,ヨシムラ・フード・ホールディングス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0209,458200,2018-08-07 00:00:00,0.021
2901,石垣食品　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0079,51200,2018-08-07 00:00:00,0.004699999999999999
2901,石垣食品　普通株式,UBS AG,2018-08-08,0.0029,18900,2018-08-07 00:00:00,0.0056
2918,わらべや日洋ホールディングス　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.006,105900,2018-08-03 00:00:00,0.0052
3001,片倉工業　普通株式,Societe Generale,2018-08-08,0.0105,371200,2018-08-07 00:00:00,0.0105
3001,片倉工業　普通株式,Societe Generale,2018-08-09,0.0105,371100,2018-08-08 00:00:00,0.0105
3036,アルコニックス　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0064,167352,2018-08-02 00:00:00,0.0061
3050,ＤＣＭホールディングス　普通株式,"Angelo, Gordon & Co., LP",2018-08-08,0.005,708100,2018-07-02 00:00:00,0.0055
3053,ペッパーフードサービス　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0058,121218,2018-08-01 00:00:00,0.0060999999999999995
3053,ペッパーフードサービス　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.009000000000000001,187599,2018-08-03 00:00:00,0.01
3053,ペッパーフードサービス　普通株式,Nomura International plc,2018-08-08,0.0118,246800,2018-07-30 00:00:00,0.013000000000000001
3053,ペッパーフードサービス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.015,312924,2018-08-08 00:00:00,0.0149
3073,ＤＤホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0061,47500,2018-08-07 00:00:00,0.0062
3083,シーズメン　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0077,15500,2018-08-07 00:00:00,0.0084
3087,ドトール・日レスホールディングス　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.0069,352900,2018-08-02 00:00:00,0.0075
3097,物語コーポレーション　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0079,47600,2018-08-06 00:00:00,0.008
3113,Ｏａｋ　キャピタル　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0049,267300,2018-08-03 00:00:00,0.0052
3139,ラクト・ジャパン　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.011000000000000001,54085,2018-08-08 00:00:00,0.0109
3193,鳥貴族　普通株式,Nomura International plc,2018-08-08,0.0055000000000000005,64800,2018-07-24 00:00:00,0.0062
3250,エー・ディー・ワークス　普通株式,個人,2018-08-09,0,0,2018-08-08 00:00:00,0.0052
3258,ユニゾホールディングス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0241,825997,2018-08-06 00:00:00,0.023
3267,フィル・カンパニー　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.005600000000000001,31500,2018-08-03 00:00:00,0.0063
3267,フィル・カンパニー　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0106,58900,2018-07-30 00:00:00,0.0113
3267,フィル・カンパニー　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.005,27900,2018-08-07 00:00:00,0.005
3271,ＴＨＥグローバル社　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0038,52600,2018-08-01 00:00:00,0.0089
3271,ＴＨＥグローバル社　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0011,15854,2018-08-03 00:00:00,0.009899999999999999
3300,ＡＭＢＩＴＩＯＮ　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.006500000000000001,44400,2018-08-03 00:00:00,0.0073
3323,レカム　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.02,1344300,2018-07-25 00:00:00,0.0215
3356,テリロジー　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0106,167700,2018-08-07 00:00:00,0.0124
3356,テリロジー　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0021,33100,2018-08-06 00:00:00,0.009399999999999999
3356,テリロジー　普通株式,"JANE STREET GLOBAL TRADING, LLC",2018-08-08,0.0092,144700,2018-08-06 00:00:00,0.0081
3356,テリロジー　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0095,150200,2018-08-08 00:00:00,0.0068000000000000005
3397,トリドールホールディングス　普通株式,UBS AG,2018-08-08,0.006,263609,2018-08-07 00:00:00,0.003
3415,ＴＯＫＹＯ　ＢＡＳＥ　普通株式,Citigroup Global Markets Limited,2018-08-08,0.0052,249400,2018-07-24 00:00:00,0.0042
3441,山王　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0137,68500,2018-08-07 00:00:00,0.0137
