STAFF_ATTRIB,78,地域共同研究センター飯塚分室,地域共同センタ飯塚分室, 
STAFF_ATTRIB,79,保健センター分室（若松）,保健センター(若松), 
STAFF_ATTRIB,80,ヒューマンライフＩＴ開発センター,ヒューマンＩＴセンター, 
STAFF_ATTRIB,81,情報創成工学専攻,情報創成工学専攻, 
STAFF_ATTRIB,83,工学研究科電気工学専攻,工院電気工学, 
STAFF_ATTRIB,84,生命体工学研究科事務部,生命体研究科事務部, 
STAFF_ATTRIB,85,生命体工学研究科生体機能専攻,生命体機能専攻, 
STAFF_ATTRIB,86,生命体工学研究科脳情報専攻,生命体脳情報専攻, 
STAFF_ATTRIB,88,機能システム創生工学専攻,機能システム創生, 
STAFF_ATTRIB,91,工学部寄付講座,工学部寄付講座, 
STAFF_ATTRIB,95,工学部ＲＡ,ＲＡ, 
STAFF_ATTRIB,96,情報工学部ＲＡ,ＲＡ, 
STAFF_ATTRIB,97,工学部ＴＡ,ＴＡ, 
STAFF_ATTRIB,98,情報工学部ＴＡ,ＴＡ, 
STAFF_TYPE,0,定員内職員,常勤職員, 
STAFF_TYPE,1,非常勤職員(日々雇),非常勤職員, 
STAFF_TYPE,2,パートタイム職員,パートタイム職員, 
STAFF_TYPE,3,非常勤講師,非常勤教員, 
STAFF_TYPE,4,学医,学医, 
STAFF_TYPE,5,外国人教師,外国人教師, 
STAFF_TYPE,6,年俸制職員,年俸制職員, 
STAFF_TYPE,7,非常勤研究員,非常勤職員, 
STAFF_STATUS,0,在職中,在職, 
STAFF_STATUS,1,休職中,休職, 
STAFF_STATUS,9,離退職等,退職, 
STAFF_OCCUPATION,801,寄附講座教員,寄附講座教員, 
STAFF_OCCUPATION,802,研究職員,研究職員, 
STAFF_OCCUPATION,803,業務支援職員,業務支援職員, 
STAFF_OCCUPATION,910,学長,学長, 
STAFF_OCCUPATION,913,事務局長,事務局長, 
STAFF_OCCUPATION,915,次長,次長, 
STAFF_OCCUPATION,916,課長,課長, 
STAFF_OCCUPATION,917,主幹,主幹, 
STAFF_OCCUPATION,918,事務長,事務長, 
STAFF_OCCUPATION,919,課長補佐,課長補佐, 
STAFF_OCCUPATION,920,事務長補佐,事務長補佐, 
STAFF_OCCUPATION,921,専門員,専門員, 
STAFF_OCCUPATION,922,専門職員,専門職員, 
STAFF_OCCUPATION,923,係長,係長, 
STAFF_OCCUPATION,925,技術系係長,技術系係長, 
STAFF_OCCUPATION,926,主任,主任, 
STAFF_OCCUPATION,928,技術職員,技術職員, 
STAFF_OCCUPATION,929,図書系専門員,図書系専門員, 
STAFF_OCCUPATION,930,図書系係長,図書系係長, 
STAFF_OCCUPATION,932,一般職員,一般職員, 
STAFF_OCCUPATION,933,図書系職員,図書系職員, 
STAFF_OCCUPATION,934,技術職員,技術職員, 
STAFF_OCCUPATION,936,技能職員,技能職員, 
STAFF_OCCUPATION,937,労務職員,労務職員, 
STAFF_OCCUPATION,938,労務職員,労務職員, 
STAFF_OCCUPATION,948,栄養士,栄養士, 
STAFF_OCCUPATION,960,保健婦,保健婦, 
STAFF_OCCUPATION,969,教務職員,教務職員, 
STAFF_OCCUPATION,973,教授,教授, 
STAFF_OCCUPATION,976,教授,教授, 
STAFF_OCCUPATION,977,助教授,助教授, 
STAFF_OCCUPATION,978,講師,講師, 
STAFF_OCCUPATION,979,助手,助手, 
STAFF_OCCUPATION,988,准教授,准教授, 
STAFF_OCCUPATION,990,助教,助教, 
STAFF_OCCUPATION,992,技術専門官,技術専門官, 
STAFF_OCCUPATION,993,技術専門職員,技術専門職員, 
STUDENT_TYPE,1,教養課程(昼間),教養(昼間), 
STUDENT_TYPE,2,専門課程(昼間),専門(昼間), 
STUDENT_TYPE,3,教養課程(夜間),教養(夜間), 
STUDENT_TYPE,4,専門課程(夜間),専門(夜間), 
STUDENT_TYPE,5,学部研究生,学部研究生, 
