current time stamp:  20180116-0027
2017/07/21,2806,2860,2724,2787,250000,2787
2017/07/20,2658,2797,2656,2787,229300,2787
2017/07/19,2627,2688,2626,2650,82600,2650
2017/07/18,2740,2740,2636,2646,166700,2646
2017/07/14,2700,2754,2648,2750,176600,2750
2017/07/13,2834,2835,2655,2690,178900,2690
2017/07/12,2830,2851,2747,2770,168000,2770
2017/07/11,2847,2927,2830,2836,392100,2836
2017/07/10,2630,2807,2630,2797,422000,2797
2017/07/07,2694,2710,2603,2603,289900,2603
2017/07/06,2810,2820,2659,2694,398600,2694
2017/06/30,2646,2878,2608,2878,748100,2878
2017/06/29,2584,2688,2452,2688,535100,2688
2017/06/28,2540,2639,2410,2534,441400,2534
2017/06/27,2549,2765,2500,2553,1175000,2553
2017/06/26,2276,2512,2261,2512,855800,2512
2017/06/23,2129,2280,2071,2226,352400,2226
2017/06/22,2167,2218,2120,2132,141800,2132
2017/06/21,2200,2245,2175,2181,135100,2181
2017/06/20,2249,2265,2162,2193,224700,2193
2017/06/19,2250,2293,2192,2230,501900,2230
2017/06/16,2072,2222,2065,2138,816900,2138
2017/06/15,1987,2052,1952,1995,163900,1995
2017/06/14,2060,2089,1965,1986,160300,1986
2017/06/13,1921,2049,1893,2046,201500,2046
2017/06/12,1998,2010,1911,1917,114100,1917
2017/06/09,2051,2074,1980,1987,164500,1987
2017/06/08,2049,2114,2006,2025,320900,2025
2017/06/07,1925,2070,1887,2050,333800,2050
2017/06/06,1971,1991,1861,1879,338900,1879
2017/06/05,1980,2054,1937,2011,249200,2011
