date,2023-10-04,2023-10-11,2023-10-13,2023-10-18,2023-10-20,2023-10-27,2023-11-01,2023-11-08,2023-11-10,2023-11-15,2023-11-17
212C1064,12:51,,,,,,,,,,
212C1065,12:50,,,,,,,,,,
212C1109,12:47,12:45,12:44,12:53,12:47,12:48,12:46,12:51,,,12:56
212C1129,,13:00,,,,,,,,,
222C1061,,,12:45,12:48,,,12:57,,13:01,12:56,13:00
222C1105,,12:55,,12:57,,,,,,,
222C1113,,,,12:40,,,12:40,12:40,12:41,,
232C1001,12:53,12:51,12:55,12:57,12:59,,12:53,,12:51,12:52,12:52
232C1003,13:05,12:50,12:50,12:51,12:47,12:51,12:51,12:50,12:50,12:52,12:51
232C1005,12:51,12:51,12:50,12:52,12:50,12:50,12:52,12:51,12:51,12:52,12:51
232C1007,12:53,12:53,12:54,12:50,12:48,12:54,12:52,12:59,12:59,12:56,12:53
232C1009,12:48,12:53,12:41,12:40,12:43,12:46,12:44,12:53,12:50,12:51,
232C1011,12:48,12:53,12:44,12:50,12:43,12:46,12:44,12:51,12:51,12:52,12:54
232C1013,12:51,12:43,12:41,12:43,12:47,,12:44,12:51,12:51,12:52,12:52
232C1015,12:51,12:51,12:52,12:42,12:50,12:48,12:41,12:52,12:51,12:52,12:52
232C1017,12:53,12:53,12:51,12:52,12:49,12:50,12:52,12:52,12:55,,12:52
232C1019,12:41,13:07,12:48,12:55,12:49,12:49,12:46,12:53,12:51,12:50,12:52
232C1021,12:50,12:51,12:51,13:01,12:51,12:50,12:51,12:51,12:50,12:50,12:51
232C1023,,12:54,12:51,12:51,,12:58,,12:51,12:41,12:49,
232C1025,12:52,12:52,12:52,12:50,12:50,12:52,12:51,12:51,12:59,12:55,12:57
232C1027,12:51,12:52,12:41,12:48,12:53,12:49,12:47,12:52,12:51,12:53,12:51
232C1029,13:05,,12:53,12:55,12:51,12:57,,,12:50,12:59,12:50
232C1031,12:52,12:52,12:51,12:43,12:51,12:53,12:52,12:52,12:55,12:52,12:55
232C1033,12:55,12:53,12:54,12:53,12:56,12:51,12:48,12:56,12:50,,12:52
232C1035,12:53,12:49,12:53,12:48,12:52,12:50,12:47,12:51,12:51,12:51,12:53
232C1037,12:53,12:53,12:51,12:51,12:44,12:53,12:52,12:52,12:55,12:52,12:52
232C1039,12:54,12:51,,,12:52,12:51,12:53,12:59,,12:53,13:06
232C1041,12:51,12:52,12:53,12:51,12:49,12:56,12:51,12:52,12:50,12:53,12:52
232C1043,12:50,12:51,12:49,13:01,12:46,12:41,12:47,12:52,12:52,12:52,12:52
232C1047,12:52,12:52,12:50,12:52,,12:48,12:52,12:51,12:53,,12:52
232C1049,12:52,12:53,12:52,12:48,12:51,12:48,12:46,12:51,,12:52,
232C1051,12:52,12:51,12:50,12:54,12:52,12:42,12:53,12:52,,12:51,12:52
232C1053,12:50,12:51,12:50,12:51,12:51,12:52,12:52,12:50,12:51,12:56,12:50
232C1055,12:53,,12:54,12:53,12:53,12:47,12:54,,12:52,12:50,12:52
232C1057,12:50,12:50,12:51,12:50,12:50,12:51,,12:50,12:51,12:51,12:50
232C1059,12:51,,12:50,12:50,12:43,12:41,12:40,,12:50,12:51,12:50
232C1061,12:49,12:44,12:46,12:41,12:51,,12:43,12:53,12:54,12:52,12:53
232C1063,12:50,12:51,12:51,13:01,12:51,12:50,12:51,12:51,12:51,12:52,12:51
232C1065,12:52,,12:48,12:52,12:57,,,12:45,13:05,,12:52
232C1067,,12:53,12:53,12:54,,12:59,,12:49,,12:52,12:53
232C1069,12:49,12:45,12:42,13:01,12:52,12:50,12:44,12:53,12:50,12:52,12:55
232C1071,12:57,12:59,12:46,12:45,12:52,12:50,12:51,12:53,12:57,,
232C1073,12:55,,12:51,12:52,12:55,12:52,12:50,12:54,,12:51,
232C1075,12:48,12:53,12:40,12:40,13:03,12:46,12:48,12:53,12:50,12:51,12:54
232C1077,13:05,12:53,12:54,,12:47,,12:53,,12:48,12:56,12:51
232C1079,12:53,12:52,12:52,12:50,12:55,12:51,12:51,12:51,,12:57,12:57
232C1081,12:52,12:50,12:51,12:53,12:45,12:41,12:52,12:51,12:51,12:52,12:52
232C1083,12:51,12:51,12:48,13:01,12:50,12:55,12:47,12:52,12:52,12:52,12:55
232C1085,13:05,12:50,12:50,,12:54,,,12:51,12:50,12:51,12:50
232C1087,12:50,12:51,12:50,12:53,12:55,12:52,12:53,12:52,12:52,12:52,12:55
232C1089,12:51,12:50,12:51,12:55,13:09,12:51,12:52,12:51,12:58,12:56,12:52
232C1091,12:52,12:47,12:52,12:49,12:49,12:56,12:42,12:55,,12:53,12:51
232C1093,12:50,12:50,12:50,12:50,12:50,12:55,12:50,12:51,12:52,12:50,12:52
232C1095,12:51,12:49,12:51,12:53,,12:49,12:52,12:52,12:51,,12:52
232C1097,12:56,12:57,12:51,12:56,13:00,13:02,,12:56,13:01,12:59,
232C1099,12:44,12:50,12:50,12:44,13:02,12:50,12:48,12:56,12:53,12:53,12:52
232C1101,12:53,12:47,12:52,12:49,12:49,12:58,12:42,12:55,13:00,12:51,12:51
232C1103,12:56,,12:54,12:49,12:46,,12:53,,12:51,12:52,12:51
232C1105,12:51,12:48,12:51,12:52,12:52,12:48,12:52,12:52,12:51,12:52,12:52
232C1107,12:41,12:47,12:48,12:55,12:50,12:49,12:46,12:52,12:55,,12:51
232C1109,12:53,12:47,12:52,12:49,12:49,12:55,12:42,12:55,12:53,12:51,12:51
232C1111,12:51,12:52,,12:49,12:51,12:50,12:55,12:51,,13:00,12:53
232C1113,12:51,12:52,12:53,,12:51,12:57,12:41,,,12:52,12:53
232C1115,12:51,12:51,12:52,12:52,12:50,12:48,12:52,12:52,,12:52,12:51
232C1117,12:51,12:51,12:51,12:53,12:53,12:52,12:50,12:52,12:50,,
232C1119,12:55,,12:55,12:52,12:46,12:50,,12:48,,12:52,12:53
232C1121,13:05,12:50,12:50,12:51,12:47,12:51,12:51,12:51,,12:52,12:51
232C1123,,12:51,12:55,12:57,12:59,12:51,12:53,12:51,12:51,12:52,12:52
232C1125,12:53,12:52,12:54,12:53,12:49,12:52,12:55,12:55,,12:50,12:56
232C1127,12:50,12:53,12:51,12:52,12:52,12:54,12:52,12:52,12:52,12:52,
232C1129,12:51,12:50,12:51,12:56,12:52,12:51,12:52,12:51,13:00,12:51,12:52
232C1131,12:53,12:53,12:52,12:50,12:59,12:51,12:50,12:51,12:59,12:54,12:57
232C1133,12:51,12:52,12:52,12:50,12:49,12:56,,12:50,,12:53,
232C1135,12:51,12:50,12:51,12:50,12:51,12:51,,12:51,12:50,12:51,12:52
232C1137,12:50,12:52,,12:56,12:51,12:50,,12:53,12:51,12:51,12:52
232C1139,12:51,12:53,12:54,12:49,12:46,12:49,12:55,,12:51,12:52,12:51
232C1141,12:51,12:52,12:52,12:51,12:49,,12:51,12:50,12:52,12:53,12:52
232C1143,12:52,12:53,12:51,12:53,12:50,12:50,12:56,12:53,12:56,12:51,12:52
232C1145,12:51,12:54,12:52,12:42,12:50,12:51,12:52,12:52,12:52,12:53,12:54
232C1147,12:50,,12:52,12:48,,,12:50,12:57,12:51,12:54,12:53
232C1149,12:53,12:51,12:50,12:50,,12:51,12:50,12:51,12:51,12:52,
232C1153,12:47,12:50,,13:01,12:52,12:41,13:00,12:51,12:52,,12:53
232C1155,12:53,12:52,12:54,,,12:49,,12:57,,12:59,12:53
232C1157,12:51,12:52,12:51,12:48,12:51,12:48,12:46,12:53,,12:51,12:54
232C1159,12:58,12:58,12:50,12:51,13:01,12:51,12:52,12:54,13:07,13:02,13:09
232C1161,12:52,12:53,12:51,12:48,12:51,12:49,12:46,12:47,12:51,12:51,12:54
232C1163,12:51,12:51,12:50,12:51,12:50,12:51,12:52,12:52,12:52,12:51,12:52
232C1165,12:53,12:52,12:55,12:54,12:44,12:52,12:56,,,12:50,12:56
232C1167,12:49,12:52,,,13:09,12:41,12:48,12:50,12:52,13:00,12:53
232C1169,12:41,12:47,12:48,12:55,12:49,12:49,12:46,12:53,12:50,12:50,12:51
232C1171,12:44,12:49,12:49,,12:43,12:41,12:50,12:50,12:52,,12:51
232C1173,12:51,12:51,12:52,12:51,12:49,12:49,12:51,12:52,12:50,,12:52
232C1175,12:51,12:51,12:51,12:51,12:50,12:51,12:51,12:51,12:52,12:51,12:54
