区分,学生番号,枝番,日付,時刻,端末番号
01,222C1091,1,20231002,102124,028
01,202C1067,1,20231002,102156,028
01,222C2034,1,20231002,124139,028
01,222C2027,2,20231002,124204,028
01,222C2058,1,20231002,124301,028
01,222C2051,1,20231002,124523,028
01,222C2101,1,20231002,124526,028
01,222C2026,1,20231002,124712,028
01,222C2006,1,20231002,124715,028
01,222C2033,1,20231002,124738,028
01,222C2085,1,20231002,124741,028
01,222C2093,1,20231002,124828,028
01,222C2080,1,20231002,124925,028
01,222C2039,1,20231002,124942,028
01,202C2013,2,20231002,125441,028
01,222C2017,1,20231002,124104,028
01,222C2087,1,20231002,124602,028
01,222C2005,1,20231002,124632,028
01,222C2056,1,20231002,124809,028
01,222C2098,1,20231002,124815,028
01,222C2043,1,20231002,124927,028
01,222C2012,1,20231002,125155,028
01,222C2070,1,20231002,125404,028
01,222C2049,1,20231002,125501,028
01,222C2008,1,20231002,125703,028
01,222C2096,1,20231002,130040,028
01,222C2107,1,20231002,124255,028
01,222C2057,1,20231002,124309,028
01,21223005,2,20231002,124428,028
01,222C2028,1,20231002,124717,028
01,222C2066,1,20231002,124749,028
01,222C2086,1,20231002,125231,028
01,222C2078,1,20231002,125414,028
01,222C2025,1,20231002,125910,028
01,222C2104,1,20231002,130018,028
01,222C2036,1,20231002,130745,028
01,222C2007,1,20231002,124236,028
01,222C2052,1,20231002,124531,028
01,222C2084,1,20231002,124543,028
01,222C2038,1,20231002,124546,028
01,222C2053,1,20231002,124554,028
01,222C2042,1,20231002,124728,028
01,222C2031,1,20231002,124745,028
01,222C2037,1,20231002,124751,028
01,222C2111,1,20231002,124939,028
01,212C3021,1,20231002,125245,028
01,222C2046,1,20231002,130024,028
01,222C2025,1,20231002,130236,028
01,222C2087,1,20231002,124112,028
01,222C2055,1,20231002,124133,028
01,222C2059,1,20231002,124656,028
01,222C2023,1,20231002,124733,028
01,222C2081,1,20231002,124757,028
01,222C2073,1,20231002,124805,028
01,222C2009,2,20231002,124837,028
01,222C2001,1,20231002,124936,028
01,222C2079,1,20231002,125213,028
01,222C2062,1,20231002,125334,028
01,212C3102,1,20231002,125535,028
01,222C2091,1,20231002,130107,028
01,212C2098,1,20231002,130112,028
01,222C2068,1,20231002,124354,028
01,222C2021,1,20231002,124447,028
01,222C2002,1,20231002,124528,028
01,222C2029,1,20231002,124556,028
01,222C2105,1,20231002,124604,028
01,222C2047,1,20231002,124616,028
01,222C2069,1,20231002,124658,028
