date,open,high,low,close,volume,adj.close,sma 5,sma 21,sma 43,stddev,-3s,-2s,+2s,+3s,RCI
2016-01-04,14810,15020,14100,14220,19991405,14220,14220.0,14220.0,14220.0,0.0,14220.0,14220.0,14220.0,14220.0,100.0
2016-01-05,14150,14360,14010,14080,15202416,14080,14150.0,14150.0,14150.0,99.0,13853.0,13952.0,14348.0,14447.0,99.9
2016-01-06,14110,14240,13600,13820,17150787,13820,14040.0,14040.0,14040.0,203.0,13431.1,13634.0,14446.0,14648.9,99.5
2016-01-07,13720,13790,13170,13170,19215451,13170,13822.5,13822.5,13822.5,465.5,12426.0,12891.5,14753.5,15219.0,98.7
2016-01-08,12920,13490,12800,13100,25094705,13100,13678.0,13678.0,13678.0,516.6,12128.1,12644.7,14711.3,15227.9,97.4
2016-01-12,12780,12850,12300,12380,19215814,12380,13310.0,13461.7,13461.7,703.1,11352.4,12055.5,14867.9,15571.0,95.5
2016-01-13,12710,13060,12690,13050,14014227,13050,13104.0,13402.9,13402.9,660.4,11421.6,12082.1,14723.7,15384.2,92.9
2016-01-14,12250,12410,11900,12360,24828458,12360,12812.0,13272.5,13272.5,714.0,11130.5,11844.5,14700.5,15414.5,89.2
2016-01-15,12820,12890,12080,12200,21476356,12200,12618.0,13153.3,13153.3,757.5,10880.7,11638.2,14668.4,15425.9,84.5
2016-01-18,11600,12060,11510,11940,24670928,11940,12386.0,13032.0,13032.0,810.8,10599.7,11410.5,14653.5,15464.3,78.7
2016-01-19,11870,12150,11730,12090,19899359,12090,12328.0,12946.4,12946.4,819.9,10486.6,11306.6,14586.2,15406.2,71.7
2016-01-20,12020,12040,11130,11190,24908387,11190,11956.0,12800.0,12800.0,931.8,10004.7,10936.4,14663.6,15595.3,63.1
2016-01-21,11290,11620,10630,10650,33018190,10650,11614.0,12634.6,12634.6,1073.1,9415.4,10488.5,14780.7,15853.8,53.0
2016-01-22,11350,11930,11210,11860,27665927,11860,11546.0,12579.3,12579.3,1051.5,9424.7,10476.2,14682.4,15733.9,41.6
2016-01-25,12160,12240,11820,12090,23491248,12090,11576.0,12546.7,12546.7,1021.1,9483.3,10504.4,14589.0,15610.1,29.4
