date,open,high,low,close,volume,adj.close
2017/12/11,1759,1799,1726,1799,58100,899.5
2017/12/12,1785,1838,1685,1687,197400,843.5
2017/12/13,1705,1756,1705,1724,67800,862.0
2017/12/14,1738,1799,1711,1742,81700,871.0
2017/12/15,1722,1729,1689,1700,63400,850.0
2017/12/18,1740,1752,1672,1717,83300,858.5
2017/12/19,1712,1826,1710,1778,183300,889.0
2017/12/20,1768,2085,1760,1940,419100,970.0
2017/12/21,1900,1981,1860,1898,165900,949.0
2017/12/22,1904,1941,1845,1852,85400,926.0
2017/12/25,1855,1874,1796,1796,101000,898.0
2017/12/26,1771,1796,1760,1772,99700,886.0
2017/12/27,886,933,865,899,129600,899.0
2017/12/28,892,894,847,853,245100,853.0
2017/12/29,861,920,861,898,285600,898.0
2018/01/04,905,913,854,872,367100,872.0
2018/01/05,872,897,860,897,157000,897.0
2018/01/09,934,958,920,952,258300,952.0
2018/01/10,948,1052,948,1018,596100,1018.0
2018/01/11,1011,1030,985,1009,295700,1009.0
2018/01/12,1030,1090,1000,1024,430100,1024.0
