6166.T,,,,,,,,,,,,,,,,,
['../yfseries/6166.T-20170101-20171229.csv', '../yfseries/6166.T-20180101-20181229.csv'],,,,,,,,,,,,,-2,-1,1,2
日付,始値,高値,安値,終値,出来高,修正後終値,m.avr.5,m.avr.21,m.avr.55,m.vwavr.5,m.vwavr.21,m.vwavr.55,vw.stddev. 21,-2σ,-1σ,+1σ,+2σ
2017/3/28,1623,1647,1530,1539,104500,1539,1601,1611.5,,1606.4,1629.1,,104.4,1420.3,1524.7,1733.5,1837.9
2017/3/29,1523,1607,1501,1580,64700,1580,1597.4,1623.7,,1605.5,1643.7,,80.8,1482.1,1562.9,1724.5,1805.3
2017/3/30,1580,1585,1492,1496,89800,1496,1564.4,1625.1,1380.1,1559.7,1651.6,1496.1,72.5,1506.6,1579.1,1724.1,1796.6
2017/3/31,1498,1535,1481,1482,111400,1482,1539.8,1618,1384.5,1529.6,1652.6,1498.9,84.3,1484,1568.3,1736.9,1821.2
2017/4/3,1470,1480,1386,1395,119000,1395,1498.4,1608.3,1386.3,1488.5,1653.8,1501,97.6,1458.6,1556.2,1751.4,1849
2017/4/4,1396,1431,1292,1322,151700,1322,1455,1596.4,1386.2,1431.6,1645.1,1503.9,115.9,1413.3,1529.2,1761,1876.9
2017/4/5,1357,1375,1304,1370,75300,1370,1413,1583.4,1387.7,1405.6,1639.8,1506.1,126.1,1387.6,1513.7,1765.9,1892
2017/4/6,1342,1350,1261,1261,120500,1261,1366,1562.5,1387.9,1361.4,1621.8,1504.8,144.8,1332.2,1477,1766.6,1911.4
2017/4/7,1298,1323,1251,1310,80600,1310,1331.6,1539.2,1389.1,1329.3,1582.2,1504.9,139.7,1302.8,1442.5,1721.9,1861.6
2017/4/10,1336,1368,1317,1325,61700,1325,1317.6,1523.4,1390.3,1312.8,1569.7,1505,147.2,1275.3,1422.5,1716.9,1864.1
2017/4/11,1311,1321,1279,1283,52200,1283,1309.8,1504.1,1391.3,1305.2,1555.2,1506.4,152.4,1250.4,1402.8,1707.6,1860
2017/4/12,1254,1256,1196,1197,122300,1197,1275.2,1483.7,1390.4,1263.8,1536.6,1503.3,168,1200.6,1368.6,1704.6,1872.6
2017/4/13,1197,1240,1180,1225,68000,1225,1268,1466.7,1390.1,1257.8,1525.9,1502.7,177.1,1171.7,1348.8,1703,1880.1
2017/4/14,1203,1220,1190,1201,40400,1201,1246.2,1451.8,1389.5,1238.9,1521.4,1502.6,184,1153.4,1337.4,1705.4,1889.4
2017/4/17,1191,1240,1190,1235,42600,1235,1228.2,1435.1,1389.8,1222.1,1512.4,1502.5,191.1,1130.2,1321.3,1703.5,1894.6
2017/4/18,1272,1309,1260,1300,72600,1300,1231.6,1413.7,1391.4,1229.3,1453.9,1502.3,170.5,1112.9,1283.4,1624.4,1794.9
2017/4/19,1280,1339,1276,1277,63500,1277,1247.6,1393.5,1392.9,1253.6,1415.9,1502.7,153.6,1108.7,1262.3,1569.5,1723.1
2017/4/20,1279,1293,1262,1266,27900,1266,1255.8,1377.7,1393.5,1262.8,1397.7,1503.2,149.8,1098.1,1247.9,1547.5,1697.3
2017/4/21,1292,1292,1260,1272,23000,1272,1270,1359.2,1394.4,1274.6,1370.3,1503.7,130.5,1109.3,1239.8,1500.8,1631.3
2017/4/24,1296,1423,1293,1390,224600,1390,1301,1349,1397.5,1341.7,1360.5,1501.7,113.2,1134.1,1247.3,1473.7,1586.9
2017/4/25,1395,1495,1395,1472,292200,1472,1335.4,1342.8,1401.9,1406.8,1370,1501.7,106.8,1156.4,1263.2,1476.8,1583.6
