6166.T,,,,,,,,,,,,,,,,,
['../yfseries/6166.T-20170101-20171229.csv', '../yfseries/6166.T-20180101-20181229.csv'],,,,,,,,,,,,,-2,-1,1,2
日付,始値,高値,安値,終値,出来高,修正後終値,m.avr.5,m.avr.21,m.avr.55,m.vwavr.5,m.vwavr.21,m.vwavr.55,vw.stddev. 21,-2σ,-1σ,+1σ,+2σ
2017/10/27,4130,4290,4065,4155,156400,4155,4109,4281.2,3938.2,4117.8,4357.6,4087,220.9,3915.8,4136.7,4578.5,4799.4
2017/10/30,4250,4475,4245,4425,327000,4425,4164,4284.5,3975.1,4241.8,4362.4,4111.2,224.4,3913.6,4138,4586.8,4811.2
2017/10/31,4425,4630,4355,4585,417000,4585,4262,4296,4013.9,4385.5,4382.3,4137.8,229.5,3923.3,4152.8,4611.8,4841.3
2017/11/1,4670,4675,4345,4390,333600,4390,4326,4291,4050.1,4413.3,4374.4,4149.1,228,3918.4,4146.4,4602.4,4830.4
2017/11/2,4390,4435,4130,4290,216200,4290,4369,4267.1,4083.9,4413.7,4331.3,4156,191.5,3948.3,4139.8,4522.8,4714.3
2017/11/6,4290,4345,4160,4235,130400,4235,4385,4249,4116.4,4425.8,4299.8,4161.8,174.4,3951,4125.4,4474.2,4648.6
2017/11/7,4295,4625,4280,4570,457700,4570,4414,4249.8,4152.9,4468.4,4312.4,4179.8,180.4,3951.6,4132,4492.8,4673.2
2017/11/8,4610,4620,4360,4495,271200,4495,4396,4250,4188.5,4439,4312.3,4192.7,180.8,3950.7,4131.5,4493.1,4673.9
2017/11/9,4425,4445,4200,4290,346500,4290,4376,4245.5,4220.4,4414.2,4306.7,4202.9,178.1,3950.5,4128.6,4484.8,4662.9
2017/11/10,4250,4515,4180,4490,266300,4490,4416,4261.7,4240.5,4446.1,4327.8,4231.2,178.5,3970.8,4149.3,4506.3,4684.8
2017/11/13,5190,5190,5190,5190,103700,5190,4607,4308.6,4265.9,4518.5,4353,4273.9,219.9,3913.2,4133.1,4572.9,4792.8
2017/11/14,5490,5890,5280,5450,2361000,5450,4783,4361.7,4298.5,5168.2,4739.4,4425.4,553.7,3632,4185.7,5293.1,5846.8
2017/11/15,4810,5680,4640,5680,2607100,5680,5020,4432.1,4335,5435.1,5017.4,4583.7,628,3761.4,4389.4,5645.4,6273.4
2017/11/16,5650,6000,5420,5780,1677200,5780,5318,4506.9,4367.4,5574.1,5146,4683.7,635.8,3874.4,4510.2,5781.8,6417.6
2017/11/20,5940,6480,5850,6370,1456800,6370,5694,4617.6,4412.8,5750.6,5315.2,4799.1,703.1,3909,4612.1,6018.3,6721.4
2017/11/21,6270,6310,5970,6170,675700,6170,5890,4713.1,4455.4,5789.5,5384.3,4857.3,697.3,3989.7,4687,6081.6,6778.9
2017/11/22,6300,6740,6230,6600,1003000,6600,6120,4836,4504.3,6007.1,5490,4938.8,732.5,4025,4757.5,6222.5,6955
2017/11/24,6500,6760,6460,6620,519400,6620,6308,4953.6,4551.7,6226.7,5548.6,4984.3,739.4,4069.8,4809.2,6288,7027.4
2017/11/27,6560,6600,6220,6250,458900,6250,6402,5056.2,4592.5,6411.4,5581.4,5018.9,730.3,4120.8,4851.1,6311.7,7042
2017/11/28,6150,6370,6060,6150,275700,6150,6358,5155.2,4632,6407.4,5604.3,5040.6,717.6,4169.1,4886.7,6321.9,7039.5
2017/11/29,6320,6940,6210,6360,932200,6360,6396,5264,4670,6443.8,5659.6,5104,711,4237.6,4948.6,6370.6,7081.6
2017/11/30,6260,6600,6140,6330,526400,6330,6342,5367.6,4709,6364,5697.8,5141.6,695.9,4306,5001.9,6393.7,7089.6
2017/12/1,6250,6330,5950,6080,604200,6080,6234,5446.4,4751.1,6255.1,5739.2,5197.7,667.7,4403.8,5071.5,6406.9,7074.6
2017/12/4,6180,6580,6050,6240,738300,6240,6232,5525.2,4793.9,6252.3,5792.5,5248.2,640.9,4510.7,5151.6,6433.4,7074.3
2017/12/5,6340,6680,6280,6640,794300,6640,6330,5632.4,4845.5,6345.8,5862,5308.9,623.8,4614.4,5238.2,6485.8,7109.6
2017/12/6,6580,6910,6210,6290,1020000,6290,6316,5727.6,4890,6326.7,5907.1,5355.9,590.6,4725.9,5316.5,6497.7,7088.3
2017/12/7,6520,6900,6460,6720,708500,6720,6394,5846,4936.9,6398.4,5951.7,5404.3,584.2,4783.3,5367.5,6535.9,7120.1
2017/12/8,7010,7180,6700,7040,938400,7040,6586,5963.6,4987.6,6587.5,6042.1,5479.2,580.7,4880.7,5461.4,6622.8,7203.5
2017/12/11,7300,7570,7010,7130,938100,7130,6764,6089,5035.5,6761.5,6118.1,5546.7,586.4,4945.3,5531.7,6704.5,7290.9
2017/12/12,7130,7820,7080,7800,888000,7800,6996,6256.2,5095.8,6988.3,6227.2,5635.4,626,4975.2,5601.2,6853.2,7479.2
2017/12/13,7770,7780,7370,7590,826300,7590,7256,6403.8,5150.8,7269.6,6306.4,5697.8,641.2,5024,5665.2,6947.6,7588.8
2017/12/14,7480,7720,7080,7300,723500,7300,7372,6504.3,5191,7364.9,6346.8,5755.3,652.2,5042.4,5694.6,6999,7651.2
2017/12/15,7310,7540,7170,7310,457100,7310,7426,6592.9,5236.4,7437.9,6483.1,5796.2,609.5,5264.1,5873.6,7092.6,7702.1
2017/12/18,7200,7410,7020,7190,395400,7190,7438,6664.8,5283.4,7495.9,6626.4,5831.3,557.6,5511.2,6068.8,7184,7741.6
2017/12/19,7130,7450,7100,7200,332400,7200,7318,6732.4,5330.1,7361.2,6732.3,5872.7,505.3,5721.7,6227,7237.6,7742.9
2017/12/20,7250,7390,7060,7220,304000,7220,7244,6772.9,5382.2,7256.4,6780.4,5910,515.3,5749.8,6265.1,7295.7,7811
2017/12/21,7200,7240,6720,6950,582000,6950,7174,6810,5429.5,7155,6817,5944.5,499.1,5818.8,6317.9,7316.1,7815.2
2017/12/22,6960,7190,6770,7140,359200,7140,7140,6835.7,5477.6,7116.4,6842,5976.6,509.7,5822.6,6332.3,7351.7,7861.4
2017/12/25,7090,7160,6820,6820,413800,6820,7066,6845.2,5514.5,7040.2,6850,6005.9,509.8,5830.4,6340.2,7359.8,7869.6
2017/12/26,6880,6990,6790,6870,258400,6870,7000,6874.8,5555.5,6989.6,6871.6,6034.1,500.8,5870,6370.8,7372.4,7873.2
2017/12/27,6790,6860,6490,6520,405300,6520,6860,6892.4,5591.3,6860.6,6875.9,6053.7,491.1,5893.7,6384.8,7367,7858.1
2017/12/28,6580,6740,6350,6390,328800,6390,6748,6893.8,5625.8,6743.5,6901.5,6072.1,488.4,5924.7,6413.1,7389.9,7878.3
2017/12/29,6440,6530,6270,6320,187700,6320,6584,6893.3,5661,6604.3,6917.2,6087.8,485.8,5945.6,6431.4,7403,7888.8
2018/1/4,6410,6430,6080,6350,298100,6350,6490,6906.2,5701,6492.6,6945.5,6110.5,462.3,6020.9,6483.2,7407.8,7870.1
2018/1/5,6350,6680,6220,6680,322200,6680,6452,6927.1,5746,6468.5,6983.4,6129,435.9,6111.6,6547.5,7419.3,7855.2
2018/1/9,6690,6780,6520,6590,271800,6590,6466,6924.8,5787,6477.1,6998.6,6142.2,440.6,6117.4,6558,7439.2,7879.8
2018/1/10,6490,6730,6430,6670,207300,6670,6522,6942.9,5831.9,6530.5,7063.1,6156.8,396.6,6269.9,6666.5,7459.7,7856.3
2018/1/11,6670,7030,6650,6950,437300,6950,6648,6953.8,5881.7,6675.6,7082.7,6176,391.6,6299.5,6691.1,7474.3,7865.9
2018/1/12,6950,7070,6770,6830,347700,6830,6744,6943.8,5932.4,6770.6,7077.5,6198.7,406.5,6264.5,6671,7484,7890.5
2018/1/15,6950,6990,6670,6720,201700,6720,6752,6924.3,5978.8,6783.5,7063.3,6218.3,426.6,6210.1,6636.7,7489.9,7916.5
2018/1/16,6750,6750,6530,6710,186900,6710,6776,6872.4,6027.7,6811.7,6971.5,6230.9,362.5,6246.5,6609,7334,7696.5
2018/1/17,6660,6660,6500,6530,167600,6530,6748,6821.9,6071,6798.4,6890.2,6243.3,312.1,6266,6578.1,7202.3,7514.4
2018/1/18,6530,6680,6470,6520,178600,6520,6662,6784.8,6115.1,6691.2,6835.6,6251.5,296.4,6242.8,6539.2,7132,7428.4
2018/1/19,6500,6830,6470,6800,217000,6800,6656,6760.5,6164.7,6665.3,6800.5,6263.3,271.8,6256.9,6528.7,7072.3,7344.1
