code,date,open,high,low,close,volume,adj_close
5302,2017/10/02,4435,4540,4435,4475,434500,4475
5302,2017/10/03,4545,4595,4420,4435,252900,4435
5302,2017/10/04,4425,4560,4380,4505,271400,4505
5302,2017/10/05,4460,4500,4340,4355,182900,4355
5302,2017/10/06,4355,4440,4355,4400,162600,4400
5302,2017/10/10,4440,4660,4420,4620,526000,4620
5302,2017/10/11,4600,4765,4600,4735,406800,4735
5302,2017/10/12,4820,4920,4780,4815,530800,4815
5302,2017/10/13,4790,4890,4760,4885,327000,4885
5302,2017/10/16,4950,5160,4880,4910,520200,4910
5302,2017/10/17,4865,4865,4680,4755,541200,4755
5302,2017/10/18,4725,4795,4590,4620,357100,4620
5302,2017/10/19,4660,4685,4580,4650,277700,4650
5302,2017/10/20,4655,4695,4610,4640,150100,4640
5302,2017/10/23,4710,4790,4665,4770,193700,4770
5302,2017/10/24,4780,4795,4690,4775,162100,4775
5302,2017/10/25,4775,4880,4775,4790,218100,4790
5302,2017/10/26,4755,4845,4725,4775,156600,4775
5302,2017/10/27,4815,4825,4725,4775,149800,4775
5302,2017/10/30,4770,4770,4580,4705,403500,4705
5302,2017/10/31,4795,5160,4780,4945,743000,4945
5302,2017/11/01,5010,5040,4875,4880,240600,4880
5302,2017/11/02,4875,4885,4695,4780,395900,4780
5302,2017/11/06,4835,4835,4630,4640,363000,4640
5302,2017/11/07,4710,4725,4610,4665,296100,4665
5302,2017/11/08,4635,4645,4525,4625,236800,4625
5302,2017/11/09,4625,4685,4575,4650,313700,4650
5302,2017/11/10,4580,4640,4545,4575,159000,4575
5302,2017/11/13,4575,4630,4495,4575,197900,4575
5302,2017/11/14,4575,4635,4500,4510,235700,4510
5302,2017/11/15,4500,4505,4365,4415,336200,4415
5302,2017/11/16,4345,4540,4345,4530,202500,4530
5302,2017/11/17,4585,4695,4580,4600,217600,4600
5302,2017/11/20,4570,4655,4515,4530,112400,4530
5302,2017/11/21,4600,4610,4495,4555,121600,4555
5302,2017/11/22,4575,4580,4525,4560,108100,4560
5302,2017/11/24,4540,4545,4415,4435,129500,4435
5302,2017/11/27,4440,4495,4415,4475,129500,4475
5302,2017/11/28,4450,4465,4350,4355,123900,4355
5302,2017/11/29,4370,4395,4250,4285,175900,4285
5302,2017/11/30,4320,4395,4255,4385,160200,4385
5302,2017/12/01,4425,4425,4290,4310,127200,4310
5302,2017/12/04,4315,4405,4290,4355,109200,4355
5302,2017/12/05,4330,4420,4315,4420,102300,4420
5302,2017/12/06,4385,4385,4260,4285,123500,4285
5302,2017/12/07,4305,4430,4305,4430,113700,4430
5302,2017/12/08,4420,4465,4390,4465,80900,4465
5302,2017/12/11,4500,4555,4455,4555,106600,4555
5302,2017/12/12,4560,4575,4430,4430,109000,4430
5302,2017/12/13,4430,4450,4285,4300,193800,4300
5302,2017/12/14,4290,4360,4280,4315,96700,4315
5302,2017/12/15,4735,4945,4690,4880,1327300,4880
5302,2017/12/18,4880,4990,4820,4840,299900,4840
5302,2017/12/19,4820,4830,4580,4600,431900,4600
5302,2017/12/20,4605,4645,4515,4645,183200,4645
5302,2017/12/21,4655,4760,4610,4730,211600,4730
5302,2017/12/22,4705,4730,4650,4720,148900,4720
5302,2017/12/25,4950,5120,4930,5050,736400,5050
5302,2017/12/26,5010,5230,4975,4995,555000,4995
5302,2017/12/27,4955,5060,4905,4925,189400,4925
5302,2017/12/28,4935,5140,4905,5080,321600,5080
5302,2017/12/29,5180,5250,5030,5070,290600,5070
5302,2018/01/04,5220,5350,5110,5310,395800,5310
5302,2018/01/05,5330,5430,5260,5310,225500,5310
5302,2018/01/09,5350,5460,5290,5330,231600,5330
5302,2018/01/10,5440,5450,5200,5270,360300,5270
5302,2018/01/11,5270,5490,5260,5470,325200,5470
5302,2018/01/12,5470,5560,5410,5480,227900,5480
5302,2018/01/15,5510,5530,5380,5420,130500,5420
5302,2018/01/16,5490,5560,5430,5540,153900,5540
5302,2018/01/17,5540,5590,5490,5500,222500,5500
5302,2018/01/18,5550,5550,5220,5240,413300,5240
5302,2018/01/19,5160,5280,5160,5210,203400,5210
5302,2018/01/22,5200,5250,5130,5150,150900,5150
5302,2018/01/23,5180,5290,5130,5290,170100,5290
5302,2018/01/24,5280,5280,5160,5200,156100,5200
5302,2018/01/25,5170,5250,5160,5220,102400,5220
5302,2018/01/26,5290,5320,5220,5260,120400,5260
5302,2018/01/29,5280,5350,5270,5290,112600,5290
5302,2018/01/30,5300,5340,5260,5320,163000,5320
5302,2018/01/31,5260,5370,5220,5240,175900,5240
5302,2018/02/01,5270,5350,5260,5330,133400,5330
5302,2018/02/02,5330,5380,5280,5320,160000,5320
5302,2018/02/05,5160,5170,5010,5040,300000,5040
5302,2018/02/06,4520,4855,4520,4650,550500,4650
5302,2018/02/07,4950,4970,4690,4690,200700,4690
5302,2018/02/08,4745,4905,4730,4875,255700,4875
5302,2018/02/09,4665,4720,4590,4690,220600,4690
5302,2018/02/13,5390,5390,5390,5390,87600,5390
5302,2018/02/14,5490,5780,5280,5550,1371700,5550
5302,2018/02/15,5530,5540,5240,5390,417200,5390
5302,2018/02/16,5510,5820,5380,5720,718400,5720
5302,2018/02/19,5820,5870,5650,5810,354400,5810
5302,2018/02/20,5840,5980,5780,5810,388900,5810
5302,2018/02/21,5910,6440,5890,6370,849400,6370
5302,2018/02/22,6360,6540,6230,6430,632100,6430
5302,2018/02/23,6430,6470,6240,6340,320300,6340
5302,2018/02/26,6380,6400,6130,6250,393100,6250
5302,2018/02/27,6240,6290,6180,6230,176400,6230
5302,2018/02/28,6200,6330,6140,6180,242300,6180
5302,2018/03/01,6200,6220,5970,6090,362400,6090
5302,2018/03/02,5900,6180,5900,6100,258800,6100
5302,2018/03/05,6060,6090,5730,5740,330800,5740
5302,2018/03/06,5890,5930,5790,5820,233600,5820
5302,2018/03/07,5770,5860,5690,5710,204600,5710
5302,2018/03/08,5770,5790,5620,5710,163600,5710
5302,2018/03/09,5840,5850,5610,5670,216100,5670
5302,2018/03/12,5750,5930,5640,5750,229700,5750
5302,2018/03/13,5670,5690,5520,5580,215900,5580
5302,2018/03/14,5520,5680,5520,5610,170300,5610
5302,2018/03/15,5610,5760,5590,5750,226100,5750
5302,2018/03/16,5780,5800,5530,5650,257200,5650
5302,2018/03/19,5580,5590,5420,5440,204600,5440
5302,2018/03/20,5280,5350,5240,5290,201600,5290
5302,2018/03/22,5340,5420,5260,5310,218800,5310
5302,2018/03/23,5110,5170,5010,5030,289200,5030
5302,2018/03/26,4970,5070,4870,5070,180200,5070
5302,2018/03/27,5180,5210,5070,5210,210800,5210
5302,2018/03/28,5140,5160,5010,5120,150100,5120
5302,2018/03/29,5200,5210,5070,5140,123700,5140
5302,2018/03/30,5210,5440,5160,5400,270500,5400
5302,2018/04/02,5500,5630,5370,5440,456000,5440
5302,2018/04/03,5350,5490,5330,5460,266400,5460
5302,2018/04/04,5320,5340,4550,4625,1206900,4625
5302,2018/04/05,4600,4875,4555,4675,709400,4675
5302,2018/04/06,4605,4815,4605,4665,325700,4665
5302,2018/04/09,4715,4735,4565,4655,187600,4655
5302,2018/04/10,4630,4740,4545,4695,217100,4695
5302,2018/04/11,4720,4825,4705,4775,302500,4775
5302,2018/04/12,4760,4805,4635,4650,213900,4650
5302,2018/04/13,4670,4835,4670,4760,245600,4760
5302,2018/04/16,4805,4875,4695,4715,248200,4715
5302,2018/04/17,4735,4905,4680,4890,385900,4890
5302,2018/04/18,4925,5100,4880,5070,468100,5070
5302,2018/04/19,5120,5190,5010,5070,369000,5070
5302,2018/04/20,5000,5030,4870,4895,457100,4895
5302,2018/04/23,4940,5050,4840,4970,422900,4970
5302,2018/04/24,5070,5400,5060,5120,928600,5120
5302,2018/04/25,5040,5130,4845,4850,596300,4850
5302,2018/04/26,4865,4970,4805,4860,384100,4860
5302,2018/04/27,4930,4990,4875,4975,251900,4975
5302,2018/05/01,5650,5680,5380,5490,1383300,5490
5302,2018/05/02,5470,5480,5110,5380,900100,5380
5302,2018/05/07,5450,5450,5230,5440,349700,5440
5302,2018/05/08,5430,5660,5360,5600,761600,5600
5302,2018/05/09,5700,5820,5500,5510,885600,5510
5302,2018/05/10,5540,5740,5510,5720,428900,5720
5302,2018/05/11,5730,5780,5630,5710,286000,5710
